parser,filename_mask,reference_designator,data_source,status,notes
#mi.dataset.driver.cg_cpm_eng.cpm.cg_cpm_eng_cpm_telemetered_driver,/omc_data/whoi/OMC/CE01ISSM/D00001/cpm3/syslog/cpm_status*.txt,CE01ISSM-MFC31-00-CPMENG000,telemetered,Missing,No data on server
mi.dataset.driver.cg_dcl_eng.dcl.cg_dcl_eng_dcl_telemetered_driver,/omc_data/whoi/OMC/CE01ISSM/D00001/dcl35/syslog/*.syslog.log,CE01ISSM-MFD35-00-DCLENG000,telemetered,Available,
#mi.dataset.driver.vel3d_cd.dcl.vel3d_cd_dcl_telemetered_driver,/omc_data/whoi/OMC/CE01ISSM/D00001/dcl35/vel3d/*.vel3d.log,CE01ISSM-MFD35-01-VEL3DD000,telemetered,Not Expected,No science data in files. Probably due to 'top of the day' issue
mi.dataset.driver.presf_abc.dcl.presf_abc_dcl_telemetered_driver,/omc_data/whoi/OMC/CE01ISSM/D00001/dcl35/presf/*.presf.log,CE01ISSM-MFD35-02-PRESFA000,telemetered,Available,
mi.dataset.driver.adcpt_acfgm.dcl.pd0.adcpt_acfgm_dcl_pd0_telemetered_driver,/omc_data/whoi/OMC/CE01ISSM/D00001/dcl35/adcpt/*.adcpt.log,CE01ISSM-MFD35-04-ADCPTM000,telemetered,Available,
mi.dataset.driver.pco2w_abc.dcl.pco2w_abc_dcl_telemetered_driver,/omc_data/whoi/OMC/CE01ISSM/D00001/dcl35/pco2w*/*.pco2w*.log,CE01ISSM-MFD35-05-PCO2WB000,telemetered,Available,
mi.dataset.driver.phsen_abcdef.dcl.phsen_abcdef_dcl_telemetered_driver,/omc_data/whoi/OMC/CE01ISSM/D00001/dcl35/phsen*/*.phsen*.log,CE01ISSM-MFD35-06-PHSEND000,telemetered,Available,
mi.dataset.driver.cg_dcl_eng.dcl.cg_dcl_eng_dcl_telemetered_driver,/omc_data/whoi/OMC/CE01ISSM/D00001/dcl37/syslog/*.syslog.log,CE01ISSM-MFD37-00-DCLENG000,telemetered,Available,
mi.dataset.driver.optaa_dj.dcl.optaa_dj_dcl_telemetered_driver,/omc_data/whoi/OMC/CE01ISSM/D00001/dcl37/optaa*/*.optaa*.log,CE01ISSM-MFD37-01-OPTAAD000,telemetered,Available,
#mi.dataset.driver.ctdbp_cdef.dcl.ctdbp_cdef_dcl_telemetered_driver,/omc_data/whoi/OMC/CE01ISSM/D00001/dcl37/ctdbp2/*.ctdbp*.log,CE01ISSM-MFD37-03-CTDBPC000,telemetered,Not Expected,No science data in files. Probably due to 'top of the day' issue
#mi.dataset.driver.dosta_abcdjm.ctdbp.dcl.dosta_abcdjm_ctdbp_dcl_telemetered_driver,/omc_data/whoi/OMC/CE01ISSM/D00001/dcl37/ctdbp2/*.ctdbp*.log,CE01ISSM-MFD37-03-DOSTAD000,telemetered,Not Expected,No science data in files. Probably due to 'top of the day' issue
#mi.dataset.driver.zplsc_c.dcl.zplsc_c_dcl_telemetered_driver,,CE01ISSM-MFD37-07-ZPLSCC000,telemetered,Not Deployed,"Instrument not deployed, no data available"
#mi.dataset.driver.cg_dcl_eng.dcl.cg_dcl_eng_dcl_telemetered_driver,/omc_data/whoi/OMC/CE01ISSM/D00001/dcl16/syslog/*.syslog.log,CE01ISSM-RID16-00-DCLENG000,telemetered,Missing,
mi.dataset.driver.optaa_dj.dcl.optaa_dj_dcl_telemetered_driver,/omc_data/whoi/OMC/CE01ISSM/D00001/dcl16/optaa*/*.optaa*.log,CE01ISSM-RID16-01-OPTAAD000,telemetered,Available,
mi.dataset.driver.flort_dj.dcl.flort_dj_dcl_telemetered_driver,/omc_data/whoi/OMC/CE01ISSM/D00001/dcl16/flort/*.flort.log,CE01ISSM-RID16-02-FLORTD000,telemetered,Available,
#mi.dataset.driver.ctdbp_cdef.dcl.ctdbp_cdef_dcl_telemetered_driver,/omc_data/whoi/OMC/CE01ISSM/D00001/dcl16/ctdbp1/*.ctdbp*.log,CE01ISSM-RID16-03-CTDBPC000,telemetered,Not Expected,No science data in files. Probably due to 'top of the day' issue
#mi.dataset.driver.dosta_abcdjm.ctdbp.dcl.dosta_abcdjm_ctdbp_dcl_telemetered_driver,/omc_data/whoi/OMC/CE01ISSM/D00001/dcl16/ctdbp1/*.ctdbp*.log,CE01ISSM-RID16-03-DOSTAD000,telemetered,Not Expected,No science data in files. Probably due to 'top of the day' issue
#mi.dataset.driver.velpt_ab.dcl.velpt_ab_dcl_telemetered_driver,/omc_data/whoi/OMC/CE01ISSM/D00001/dcl16/velpt*/*.velpt*.log,CE01ISSM-RID16-04-VELPTA000,telemetered,Not Expected,No science data in files. Probably due to 'top of the day' issue
mi.dataset.driver.pco2w_abc.dcl.pco2w_abc_dcl_telemetered_driver,/omc_data/whoi/OMC/CE01ISSM/D00001/dcl16/pco2w*/*.pco2w*.log,CE01ISSM-RID16-05-PCO2WB000,telemetered,Available,
mi.dataset.driver.phsen_abcdef.dcl.phsen_abcdef_dcl_telemetered_driver,/omc_data/whoi/OMC/CE01ISSM/D00001/dcl16/phsen*/*.phsen*.log,CE01ISSM-RID16-06-PHSEND000,telemetered,Available,
mi.dataset.driver.nutnr_b.dcl_conc.nutnr_b_dcl_conc_telemetered_driver,/omc_data/whoi/OMC/CE01ISSM/D00001/dcl16/nutnr/*.nutnr.log,CE01ISSM-RID16-07-NUTNRB000,telemetered,Available,
mi.dataset.driver.spkir_abj.dcl.spkir_abj_dcl_telemetered_driver,/omc_data/whoi/OMC/CE01ISSM/D00001/dcl16/spkir/*.spkir.log,CE01ISSM-RID16-08-SPKIRB000,telemetered,Available,
mi.dataset.driver.cg_cpm_eng.cpm.cg_cpm_eng_cpm_telemetered_driver,/omc_data/whoi/OMC/CE01ISSM/D00001/irid2shore/cpm_status*.txt,CE01ISSM-SBC11-00-CPMENG000,telemetered,Available,
mi.dataset.driver.cg_dcl_eng.dcl.cg_dcl_eng_dcl_telemetered_driver,/omc_data/whoi/OMC/CE01ISSM/D00001/dcl17/syslog/*.syslog.log,CE01ISSM-SBD17-00-DCLENG000,telemetered,Available,
#,,CE01ISSM-SBD17-01-MOPAK0000,telemetered,Not Expected,No MOPAK telemetered data in this deployment
#mi.dataset.driver.velpt_ab.dcl.velpt_ab_dcl_telemetered_driver,/omc_data/whoi/OMC/CE01ISSM/D00001/dcl17/velpt*/*.velpt*.log,CE01ISSM-SBD17-04-VELPTA000,telemetered,Not Expected,No science data in files. Logging to dcl appears to have failed
#,/omc_data/whoi/OMC/CE01ISSM/D00001/dcl17/ctdbp*/*.ctdbp*.log,CE01ISSM-SBD17-06-CTDBPC000,telemetered,Not Deployed,CTDBP with FLORT not installed in the spring/summer
#,,CE01ISSM-SBD17-06-FLORTD000,telemetered,Not Deployed,CTDBP with FLORT not installed in the spring/summer
#,,CE01ISSM-MFD37-06-CAMDSA000,telemetered,Not Deployed,"Instrument not deployed, no data available"
