uframe_route,filename_mask,reference_designator,data_source,,
Ingest.dosta-abcdjm-cspp_telemetered,/omc_data/whoi/OMC/CE01ISSP/D00002/extract/ucspp_*_PPD_OPT.txt,CE01ISSP-SP001-02-DOSTAJ000,telemetered,,
Ingest.optaa-dj-cspp_telemetered,/omc_data/whoi/OMC/CE01ISSP/D00002/extract/ucspp_*_ACD_ACS.txt,CE01ISSP-SP001-04-OPTAAJ000,telemetered,,
Ingest.velpt-j-cspp_telemetered,/omc_data/whoi/OMC/CE01ISSP/D00002/extract/ucspp_*_PPD_ADCP.txt,CE01ISSP-SP001-05-VELPTJ000,telemetered,,
Ingest.nutnr-j-cspp_telemetered,/omc_data/whoi/OMC/CE01ISSP/D00002/extract/ucspp_*_SND_SNA.txt,CE01ISSP-SP001-06-NUTNRJ000,telemetered,,
Ingest.spkir-abj-cspp_telemetered,/omc_data/whoi/OMC/CE01ISSP/D00002/extract/ucspp_*_PPD_OCR.txt,CE01ISSP-SP001-07-SPKIRJ000,telemetered,,
Ingest.flort-dj-cspp_telemetered,/omc_data/whoi/OMC/CE01ISSP/D00002/extract/ucspp_*_PPD_TRIP.txt,CE01ISSP-SP001-08-FLORTJ000,telemetered,,
Ingest.ctdpf-j-cspp_telemetered,/omc_data/whoi/OMC/CE01ISSP/D00002/extract/ucspp_*_PPD_CTD.txt,CE01ISSP-SP001-09-CTDPFJ000,telemetered,,
Ingest.parad-j-cspp_telemetered,/omc_data/whoi/OMC/CE01ISSP/D00002/extract/ucspp_*_PPD_PARS.txt,CE01ISSP-SP001-10-PARADJ000,telemetered,,
,,,,,
DO NOT CHANGE this column,"Change only deployment number (last digit of D0000#) that uniquely identifies the file path to data associated with the deployment of this particular platform.  However, check for anomalies by verifying that each file path is accurate prior to submission.",DO NOT CHANGE this column,DO NOT CHANGE this column,,
,,,,,
,,,,,
,,,,,
"Note:  Change the file name to uniquely identify it; i.e., CE01ISSP_D0000#_ingest_v#; where D0000# identifies deployment number, and v# identifies the version of this document.",,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,"For ingest purposes, save the final version as .csv before submission.",,,,
