parser,filename_mask,reference_designator,data_source,status,notes
#mi.dataset.driver.dbg_pdbg.cspp.dbg_pdbg_cspp_recovered_driver,/omc_data/whoi/OMC/CE01ISSP/R00008/extract/*PDBG.txt,CE01ISSP-SP001-00-SPPENG000,recovered_cspp,Expected,
#mi.dataset.driver.wc_hmr.cspp.wc_hmr_cspp_recovered_driver,/omc_data/whoi/OMC/CE01ISSP/R00008/extract/*WC_HMR.txt,CE01ISSP-SP001-00-SPPENG000,recovered_cspp,Expected,
#mi.dataset.driver.wc_sbe.cspp.wc_sbe_cspp_recovered_driver,/omc_data/whoi/OMC/CE01ISSP/R00008/extract/*WC_SBE.txt,CE01ISSP-SP001-00-SPPENG000,recovered_cspp,Expected,
#mi.dataset.driver.wc_wm.cspp.wc_wm_cspp_recovered_driver,/omc_data/whoi/OMC/CE01ISSP/R00008/extract/*WC_WM.txt,CE01ISSP-SP001-00-SPPENG000,recovered_cspp,Expected,
#mi.dataset.driver.dosta_abcdjm.cspp.dosta_abcdjm_cspp_recovered_driver,/omc_data/whoi/OMC/CE01ISSP/R00008/extract/ucspp_*_PPD_OPT.txt,CE01ISSP-SP001-02-DOSTAJ000,recovered_cspp,Expected,
#mi.dataset.driver.optaa_dj.cspp.optaa_dj_cspp_recovered_driver,/omc_data/whoi/OMC/CE01ISSP/R00008/extract/ucspp_*_ACD_ACS.txt,CE01ISSP-SP001-04-OPTAAJ000,recovered_cspp,Expected,
#mi.dataset.driver.velpt_j.cspp.velpt_j_cspp_recovered_driver,/omc_data/whoi/OMC/CE01ISSP/R00008/extract/ucspp_*_PPD_ADCP.txt,CE01ISSP-SP001-05-VELPTJ000,recovered_cspp,Expected,
#mi.dataset.driver.nutnr_j.cspp.nutnr_j_cspp_recovered_driver,/omc_data/whoi/OMC/CE01ISSP/R00008/extract/ucspp_*_SND_SNA.txt,CE01ISSP-SP001-06-NUTNRJ000,recovered_cspp,Expected,
#mi.dataset.driver.spkir_abj.cspp.spkir_abj_cspp_recovered_driver,/omc_data/whoi/OMC/CE01ISSP/R00008/extract/ucspp_*_PPD_OCR.txt,CE01ISSP-SP001-07-SPKIRJ000,recovered_cspp,Expected,
#mi.dataset.driver.flort_dj.cspp.flort_dj_cspp_recovered_driver,/omc_data/whoi/OMC/CE01ISSP/R00008/extract/ucspp_*_PPD_TRIP.txt,CE01ISSP-SP001-08-FLORTJ000,recovered_cspp,Expected,
#mi.dataset.driver.ctdpf_j.cspp.ctdpf_j_cspp_recovered_driver,/omc_data/whoi/OMC/CE01ISSP/R00008/extract/ucspp_*_PPD_CTD.txt,CE01ISSP-SP001-09-CTDPFJ000,recovered_cspp,Expected,
#mi.dataset.driver.parad_j.cspp.parad_j_cspp_recovered_driver,/omc_data/whoi/OMC/CE01ISSP/R00008/extract/ucspp_*_PPD_PARS.txt,CE01ISSP-SP001-10-PARADJ000,recovered_cspp,Expected,
