parser,filename_mask,reference_designator,data_source,status,notes
#mi.dataset.driver.dbg_pdbg.cspp.dbg_pdbg_cspp_recovered_driver,/omc_data/whoi/OMC/CE02SHSP/R00005/extract/*PDBG.txt,CE02SHSP-SP001-00-SPPENG000,recovered_cspp,Missing,
#mi.dataset.driver.wc_hmr.cspp.wc_hmr_cspp_recovered_driver,/omc_data/whoi/OMC/CE02SHSP/R00005/extract/*WC_HMR.txt,CE02SHSP-SP001-00-SPPENG000,recovered_cspp,Missing,
#mi.dataset.driver.wc_sbe.cspp.wc_sbe_cspp_recovered_driver,/omc_data/whoi/OMC/CE02SHSP/R00005/extract/*WC_SBE.txt,CE02SHSP-SP001-00-SPPENG000,recovered_cspp,Missing,
#mi.dataset.driver.wc_wm.cspp.wc_wm_cspp_recovered_driver,/omc_data/whoi/OMC/CE02SHSP/R00005/extract/*WC_WM.txt,CE02SHSP-SP001-00-SPPENG000,recovered_cspp,Missing,
#mi.dataset.driver.dosta_abcdjm.cspp.dosta_abcdjm_cspp_recovered_driver,/omc_data/whoi/OMC/CE02SHSP/R00005/extract/*OPT.txt,CE02SHSP-SP001-01-DOSTAJ000,recovered_cspp,Missing,
#mi.dataset.driver.velpt_j.cspp.velpt_j_cspp_recovered_driver,/omc_data/whoi/OMC/CE02SHSP/R00005/extract/*ADCP.txt,CE02SHSP-SP001-02-VELPTJ000,recovered_cspp,Missing,
#mi.dataset.driver.optaa_dj.cspp.optaa_dj_cspp_recovered_driver,/omc_data/whoi/OMC/CE02SHSP/R00005/extract/*ACS.txt,CE02SHSP-SP001-04-OPTAAJ000,recovered_cspp,Missing,
#mi.dataset.driver.nutnr_j.cspp.nutnr_j_cspp_recovered_driver,/omc_data/whoi/OMC/CE02SHSP/R00005/extract/*SNA.txt,CE02SHSP-SP001-05-NUTNRJ000,recovered_cspp,Missing,
#mi.dataset.driver.spkir_abj.cspp.spkir_abj_cspp_recovered_driver,/omc_data/whoi/OMC/CE02SHSP/R00005/extract/*OCR.txt,CE02SHSP-SP001-06-SPKIRJ000,recovered_cspp,Missing,
#mi.dataset.driver.flort_dj.cspp.flort_dj_cspp_recovered_driver,/omc_data/whoi/OMC/CE02SHSP/R00005/extract/*TRIP.txt,CE02SHSP-SP001-07-FLORTJ000,recovered_cspp,Missing,
#mi.dataset.driver.ctdpf_j.cspp.ctdpf_j_cspp_recovered_driver,/omc_data/whoi/OMC/CE02SHSP/R00005/extract/*CTD.txt,CE02SHSP-SP001-08-CTDPFJ000,recovered_cspp,Missing,
#mi.dataset.driver.parad_j.cspp.parad_j_cspp_recovered_driver,/omc_data/whoi/OMC/CE02SHSP/R00005/extract/*PARS.txt,CE02SHSP-SP001-09-PARADJ000,recovered_cspp,Missing,
