uframe_route,filename_mask,reference_designator,data_source,status,notes,
#Ingest.cg-cpm-eng-cpm_recovered,/omc_data/whoi/OMC/CE04OSSM/R00003/cg_data/cpm2/syslog/cpm_status.txt,CE04OSSM-RIC21-00-CPMENG000,recovered_host,Missing,Missing,
#Ingest.cg-dcl-eng-dcl_recovered,/omc_data/whoi/OMC/CE04OSSM/R00003/cg_data/dcl26/syslog/*.syslog.log,CE04OSSM-RID26-00-DCLENG000,recovered_host,Missing,Missing,
#Ingest.adcpt-acfgm-dcl-pd0_recovered,/omc_data/whoi/OMC/CE04OSSM/R00003/cg_data/dcl26/adcpt/*.adcpt.log,CE04OSSM-RID26-01-ADCPTC000,recovered_host,Missing,Missing,
#Ingest.adcps-jln_recovered,/omc_data/whoi/OMC/CE04OSSM/R00003/instrmts/dcl26/ADCPT_*/*adcpt*.000,CE04OSSM-RID26-01-ADCPTC000,recovered_inst,Missing,Missing,
#Ingest.velpt-ab-dcl_recovered,/omc_data/whoi/OMC/CE04OSSM/R00003/cg_data/dcl26/velpt*/*.velpt*.log,CE04OSSM-RID26-04-VELPTA000,recovered_host,Missing,Missing,
#Ingest.velpt-ab_recovered,/omc_data/whoi/OMC/CE04OSSM/R00003/instrmts/dcl26/VELPT_*/*velpt*.aqd,CE04OSSM-RID26-04-VELPTA000,recovered_inst,Missing,Missing,
#Ingest.phsen-abcdef-dcl_recovered,/omc_data/whoi/OMC/CE04OSSM/R00003/cg_data/dcl26/phsen/*.phsen.log,CE04OSSM-RID26-06-PHSEND000,recovered_host,Missing,Missing,
#Ingest.phsen-abcdef_recovered,/omc_data/whoi/OMC/CE04OSSM/R00003/instrmts/dcl26/PHSEN_*/*phsen*.txt,CE04OSSM-RID26-06-PHSEND000,recovered_inst,Missing,Missing,
#Ingest.nutnr-b-dcl-conc_recovered,/omc_data/whoi/OMC/CE04OSSM/R00003/cg_data/dcl26/nutnr/*.nutnr.log,CE04OSSM-RID26-07-NUTNRB000,recovered_host,Not Deployed,Missing,
#Ingest.nutnr-b_recovered,/omc_data/whoi/OMC/CE04OSSM/R00003/instrmts/dcl26/NUTNR_*/*nutnr*/*SCH*.DAT,CE04OSSM-RID26-07-NUTNRB000,recovered_inst,Missing,Missing,
#Ingest.spkir-abj-dcl_recovered,/omc_data/whoi/OMC/CE04OSSM/R00003/cg_data/dcl26/spkir/*.spkir.log,CE04OSSM-RID26-08-SPKIRB000,recovered_host,Missing,Missing,
#Ingest.cg-dcl-eng-dcl_recovered,/omc_data/whoi/OMC/CE04OSSM/R00003/cg_data/dcl27/syslog/*.syslog.log,CE04OSSM-RID27-00-DCLENG000,recovered_host,Missing,Missing,
#Ingest.optaa-dj-dcl_recovered,/omc_data/whoi/OMC/CE04OSSM/R00003/cg_data/dcl27/optaa/*.optaa.log,CE04OSSM-RID27-01-OPTAAD000,recovered_host,Missing,Missing,
#Ingest.flort-dj-dcl_recovered,/omc_data/whoi/OMC/CE04OSSM/R00003/cg_data/dcl27/flort/*.flort.log,CE04OSSM-RID27-02-FLORTD000,recovered_host,Missing,Missing,
#Ingest.ctdbp-cdef-dcl_recovered,/omc_data/whoi/OMC/CE04OSSM/R00003/cg_data/dcl27/ctdbp/*.ctdbp.log,CE04OSSM-RID27-03-CTDBPC000,recovered_host,Missing,Missing,
