uframe_route,parser,filename_mask,reference_designator,data_source,status,notes
#,,,CE06ISSM-MFC31-00-CPMENG000,telemetered,Not Expected,No CPM/DCL systems on MFN. All instruments set to internally record
#,,,CE06ISSM-MFD35-00-DCLENG000,telemetered,Not Deployed,
#,,,CE06ISSM-MFD35-01-VEL3DD000,telemetered,Not Expected,No CPM/DCL systems on MFN. All instruments set to internally record
#,,,CE06ISSM-MFD35-02-PRESFA000,telemetered,Not Expected,No CPM/DCL systems on MFN. All instruments set to internally record
#,,,CE06ISSM-MFD35-04-ADCPTM000,telemetered,Not Expected,No CPM/DCL systems on MFN. All instruments set to internally record
#,,,CE06ISSM-MFD35-05-PCO2WB000,telemetered,Missing,
#,,,CE06ISSM-MFD35-06-PHSEND000,telemetered,Not Deployed,Instrument not available for deployment
#,,,CE06ISSM-MFD37-00-DCLENG000,telemetered,Not Deployed,No CPM/DCL systems on MFN. All instruments set to internally record
#,,,CE06ISSM-MFD37-01-OPTAAD000,telemetered,Not Deployed,Not installed
#,,,CE06ISSM-MFD37-03-CTDBPC000,telemetered,Not Expected,No CPM/DCL systems on MFN. All instruments set to internally record
#,,,CE06ISSM-MFD37-03-DOSTAD000,telemetered,Not Expected,No CPM/DCL systems on MFN. All instruments set to internally record
#,,,CE06ISSM-MFD37-07-ZPLSCC000,telemetered,Not Expected,No CPM/DCL systems on MFN. All instruments set to internally record
Ingest.cg-dcl-eng-dcl_telemetered,mi.dataset.driver.cg_dcl_eng.dcl.cg_dcl_eng_dcl_telemetered_driver,/omc_data/whoi/OMC/CE06ISSM/D00003/dcl16/syslog/*.syslog.log,CE06ISSM-RID16-00-DCLENG000,telemetered,Available,
#Ingest.optaa-dj-dcl_telemetered,mi.dataset.driver.optaa_dj.dcl.optaa_dj_dcl_telemetered_driver,/omc_data/whoi/OMC/CE06ISSM/D00003/dcl16/optaa*/*.optaa*.log,CE06ISSM-RID16-01-OPTAAD000,telemetered,Missing,
Ingest.flort-dj-dcl_telemetered,mi.dataset.driver.flort_dj.dcl.flort_dj_dcl_telemetered_driver,/omc_data/whoi/OMC/CE06ISSM/D00003/dcl16/flort/*.flort.log,CE06ISSM-RID16-02-FLORTD000,telemetered,Available,
Ingest.ctdbp-cdef-dcl_telemetered,mi.dataset.driver.ctdbp_cdef.dcl.ctdbp_cdef_dcl_telemetered_driver,/omc_data/whoi/OMC/CE06ISSM/D00003/dcl16/ctdbp1/*.ctdbp*.log,CE06ISSM-RID16-03-CTDBPC000,telemetered,Available,
Ingest.dosta-abcdjm-ctdbp-dcl_telemetered,mi.dataset.driver.dosta_abcdjm.ctdbp.dcl.dosta_abcdjm_ctdbp_dcl_telemetered_driver,/omc_data/whoi/OMC/CE06ISSM/D00003/dcl16/ctdbp1/*.ctdbp*.log,CE06ISSM-RID16-03-DOSTAD000,telemetered,Available,
Ingest.velpt-ab-dcl_telemetered,mi.dataset.driver.velpt_ab.dcl.velpt_ab_dcl_telemetered_driver,/omc_data/whoi/OMC/CE06ISSM/D00003/dcl16/velpt*/*.velpt*.log,CE06ISSM-RID16-04-VELPTA000,telemetered,Available,
Ingest.pco2w-abc-dcl_telemetered,mi.dataset.driver.pco2w_abc.dcl.pco2w_abc_dcl_telemetered_driver,/omc_data/whoi/OMC/CE06ISSM/D00003/dcl16/pco2w*/*.pco2w*.log,CE06ISSM-RID16-05-PCO2WB000,telemetered,Available,
Ingest.phsen-abcdef-dcl_telemetered,mi.dataset.driver.phsen_abcdef.dcl.phsen_abcdef_dcl_telemetered_driver,/omc_data/whoi/OMC/CE06ISSM/D00003/dcl16/phsen*/*.phsen*.log,CE06ISSM-RID16-06-PHSEND000,telemetered,Available,
