uframe_route,filename_mask,reference_designator,data_source,
Ingest.mopak-o-dcl_recovered,/omc_data/whoi/OMC/CE06ISSM/R00002/cg_data/dcl17/mopak/*.mopak.log,CE06ISSM-SBD17-01-MOPAK0000,recovered,
Ingest.velpt-ab-dcl_recovered,/omc_data/whoi/OMC/CE06ISSM/R00001/cg_data/dcl17/velpt1/*.velpt1.log,CE06ISSM-SBD17-04-VELPTA000,recovered,Recovered DCL data
Ingest.velpt-ab_recovered,/omc_data/whoi/OMC/CE06ISSM/R00001/instrmts/dcl17/VELPT_*/*velpt*.aqd,CE06ISSM-SBD17-04-VELPTA000,recovered,Recovered Instrument data
#,/omc_data/whoi/OMC/CE06ISSM/R00001/cg_data/dcl17/ucspp/*.ucspp.log,CE06ISSM-SBD17-05-ACOMM0000,recovered,No parser exists for this data set
#,/omc_data/whoi/OMC/CE06ISSM/R00001/cg_data/dcl17/ctdbp3/*.ctdbp3.log,CE06ISSM-SBD17-06-CTDBPC000,recovered,No parser exists for this data set
#,/omc_data/whoi/OMC/CE06ISSM/R00001/instrmts/dcl17/CTDBP_*/*ctdbp*.hex,CE06ISSM-SBD17-06-CTDBPC000,recovered,No parser exists for this data set
Ingest.optaa-dj-dcl_recovered,/omc_data/whoi/OMC/CE06ISSM/R00002/cg_data/dcl16/optaa1/*.optaa*.log,CE06ISSM-RID16-01-OPTAAD000,recovered,
Ingest.flort-dj-dcl_recovered,/omc_data/whoi/OMC/CE06ISSM/R00002/cg_data/dcl16/flort/*.flort.log,CE06ISSM-RID16-02-FLORTD000,recovered,
Ingest.ctdbp-cdef-dcl-ce-dosta_recovered,/omc_data/whoi/OMC/CE06ISSM/R00002/cg_data/dcl16/ctdbp1/*.ctdbp1.log,CE06ISSM-RID16-03-CTDBPC000,recovered,Recovered DCL data
Ingest.ctdbp-cdef-ce-dosta_recovered,/omc_data/whoi/OMC/CE06ISSM/R00002/instrmts/dcl16/CTDBP_*/*ctdbp*.hex,CE06ISSM-RID16-03-CTDBPC000,recovered,Recovered Instrument data
Ingest.ctdbp-cdef-dcl-ce-dosta_recovered,/omc_data/whoi/OMC/CE06ISSM/R00002/cg_data/dcl16/ctdbp1/*.ctdbp1.log,CE06ISSM-RID16-03-DOSTAD000,recovered,Recovered DCL data
Ingest.ctdbp-cdef-ce-dosta_recovered,/omc_data/whoi/OMC/CE06ISSM/R00002/instrmts/dcl16/CTDBP_*/*ctdbp*.hex,CE06ISSM-RID16-03-DOSTAD000,recovered,Recovered Instrument data
Ingest.velpt-ab_recovered,/omc_data/whoi/OMC/CE06ISSM/R00002/cg_data/dcl16/velpt2/*.velpt*.log,CE06ISSM-RID16-04-VELPTA000,recovered,Recovered DCL data
Ingest.velpt-ab_recovered,/omc_data/whoi/OMC/CE06ISSM/R00001/instrmts/dcl16/VELPT_*/*velpt*.aqd,CE06ISSM-RID16-04-VELPTA000,recovered,Recovered Instrument data
Ingest.pco2w-abc-dcl_recovered,/omc_data/whoi/OMC/CE06ISSM/R00002/cg_data/dcl16/pco2w/*.pco2w.log,CE06ISSM-RID16-05-PCO2WB000,recovered,Recovered DCL data
Ingest.pco2w-abc_recovered,/omc_data/whoi/OMC/CE06ISSM/R00001/instrmts/dcl16/PCO2W_*/*pco2w*.txt,CE06ISSM-RID16-05-PCO2WB000,recovered,Recovered Instrument data
Ingest.phsen-abcdef-dcl_recovered,/omc_data/whoi/OMC/CE06ISSM/R00002/cg_data/dcl16/phsen1/*.phsen*.log,CE06ISSM-RID16-06-PHSEND000,recovered,Recovered DCL data
Ingest.phsen-abcdef_recovered,/omc_data/whoi/OMC/CE06ISSM/R00001/instrmts/dcl16/PHSEN_*/*phsen*.txt,CE06ISSM-RID16-06-PHSEND000,recovered,Recovered Instrument data
Ingest.nutnr-b-dcl_recovered,/omc_data/whoi/OMC/CE06ISSM/R00002/cg_data/dcl16/nutnr/*.nutnr.log,CE06ISSM-RID16-07-NUTNRB000,recovered,Recovered DCL data
Ingest.nutnr-b_recovered,/omc_data/whoi/OMC/CE06ISSM/R00002/instrmts/dcl16/NUTNR_*/*nutnr*/SCH*.DAT,CE06ISSM-RID16-07-NUTNRB000,recovered,Recovered Instrument data
Ingest.spkir-abj-dcl_recovered,/omc_data/whoi/OMC/CE06ISSM/R00002/cg_data/dcl16/spkir/*.spkir.log,CE06ISSM-RID16-08-SPKIRB000,recovered,
Ingest.vel3d-cd-dcl_recovered,/omc_data/whoi/OMC/CE06ISSM/R00001/cg_data/dcl35/vel3d/*.vel3d.log,CE06ISSM-MFD35-01-VEL3DD000,recovered,Recovered DCL data
Ingest.vel3d-cd_recovered,/omc_data/whoi/OMC/CE06ISSM/R00001/instrmts/dcl35/VEL3D_*/*vel3d*.vec,CE06ISSM-MFD35-01-VEL3DD000,recovered,Recovered Instrument data
