uframe_route,parser,filename_mask,reference_designator,data_source,status,notes
#Ingest.cg-cpm-eng-cpm_recovered,mi.dataset.driver.cg_cpm_eng.cpm.cg_cpm_eng_cpm_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/cpm3/syslog/cpm_status.txt,CE07SHSM-MFC31-00-CPMENG000,recovered_host,Missing,
#Ingest.cg-dcl-eng-dcl_recovered,mi.dataset.driver.cg_dcl_eng.dcl.cg_dcl_eng_dcl_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/dcl35/syslog/*.syslog.log,CE07SHSM-MFD35-00-DCLENG000,recovered_host,Missing,
# #Ingest.vel3d-cd-dcl_recovered,,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/dcl35/vel3d/*.vel3d.log,CE07SHSM-MFD35-01-VEL3DD000,recovered_host,Not Expected,Instrument not connected to DCL
#Ingest.vel3d-cd-dcl_recovered,mi.dataset.driver.vel3d_cd.dcl.vel3d_cd_dcl_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/instrmts/dcl35/VEL3D_*/*vel3d*.VEC,CE07SHSM-MFD35-01-VEL3DD000,recovered_inst,Missing,
#Ingest.presf-abc-dcl_recovered,mi.dataset.driver.presf_abc.dcl.presf_abc_dcl_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/dcl35/presf/*.presf.log,CE07SHSM-MFD35-02-PRESFB000,recovered_host,Missing,
#Ingest.presf-abc_recovered,mi.dataset.driver.presf_abc.presf_abc_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/instrmts/dcl35/PRESF_*/*presf*.hex,CE07SHSM-MFD35-02-PRESFB000,recovered_inst,Missing,
#Ingest.adcpt-acfgm-dcl-pd0_recovered,mi.dataset.driver.adcpt_acfgm.dcl.pd0.adcpt_acfgm_dcl_pd0_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/dcl35/adcpt2/*.adcpt*.log,CE07SHSM-MFD35-04-ADCPTC000,recovered_host,Missing,
#Ingest.adcps-jln_recovered,mi.dataset.driver.adcps_jln.adcps_jln_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/instrmts/dcl35/ADCPT_*/*.000,CE07SHSM-MFD35-04-ADCPTC000,recovered_inst,Missing,
#Ingest.pco2w-abc-dcl_recovered,mi.dataset.driver.pco2w_abc.dcl.pco2w_abc_dcl_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/cg_data/dcl35/pco2w/*.pco2w.log,CE07SHSM-MFD35-05-PCO2WB000,recovered_host,Missing,
#Ingest.pco2w-abc_recovered,mi.dataset.driver.pco2w_abc.pco2w_abc_recovered_driver,/omc_data/whoi/OMC/CE07SHSM/R00004/instrmts/dcl35/PCO2W_*/*pco2w*.txt,CE07SHSM-MFD35-05-PCO2WB000,recovered_inst,Missing,
