uframe_route,filename_mask,reference_designator,data_source
Ingest.dosta-abcdjm-cspp_recovered,/omc_data/whoi/OMC/CE07SHSP/R00001/extract/ucspp_*_PPB_OPT.txt,CE07SHSP-SP001-01-DOSTAJ000,recovered_cspp
Ingest.velpt-j-cspp_recovered,/omc_data/whoi/OMC/CE07SHSP/R00001/extract/ucspp_*_PPB_ADCP.txt,CE07SHSP-SP001-02-VELPTJ000,recovered_cspp
Ingest.optaa-dj-cspp_recovered,/omc_data/whoi/OMC/CE07SHSP/R00001/extract/ucspp_*_ACS_ACS.txt,CE07SHSP-SP001-04-OPTAAJ000,recovered_cspp
Ingest.nutnr-j-cspp_recovered,/omc_data/whoi/OMC/CE07SHSP/R00001/extract/ucspp_*_SNA_SNA.txt,CE07SHSP-SP001-05-NUTNRJ000,recovered_cspp
Ingest.spkir-abj-cspp_recovered,/omc_data/whoi/OMC/CE07SHSP/R00001/extract/ucspp_*_PPB_OCR.txt,CE07SHSP-SP001-06-SPKIRJ000,recovered_cspp
Ingest.flort-dj-cspp_recovered,/omc_data/whoi/OMC/CE07SHSP/R00001/extract/ucspp_*_PPB_TRIP.txt,CE07SHSP-SP001-07-FLORTJ000,recovered_cspp
Ingest.ctdpf-j-cspp_recovered,/omc_data/whoi/OMC/CE07SHSP/R00001/extract/ucspp_*_PPB_CTD.txt,CE07SHSP-SP001-08-CTDPFJ000,recovered_cspp
Ingest.parad-j-cspp_recovered,/omc_data/whoi/OMC/CE07SHSP/R00001/extract/ucspp_*_PPB_PARS.txt,CE07SHSP-SP001-09-PARADJ000,recovered_cspp
,,,
Ingest.dbg-pdbg-cspp_recovered,/omc_data/whoi/OMC/CE07SHSP/R00001/extract/*PDBG.txt,CE07SHSP-SP001-00-SPPENG000,recovered_cspp
Ingest.wc-hmr-cspp_recovered,/omc_data/whoi/OMC/CE07SHSP/R00001/extract/*WC_HMR.txt,CE07SHSP-SP001-00-SPPENG000,recovered_cspp
Ingest.wc-sbe-cspp_recovered,/omc_data/whoi/OMC/CE07SHSP/R00001/extract/*WC_SBE.txt,CE07SHSP-SP001-00-SPPENG000,recovered_cspp
Ingest.wc-wm-cspp_recovered,/omc_data/whoi/OMC/CE07SHSP/R00001/extract/*WC_WM.txt,CE07SHSP-SP001-00-SPPENG000,recovered_cspp
