uframe_route,filename_mask,reference_designator,data_source,status,notes
Ingest.cg-cpm-eng-cpm_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/cpm3/syslog/cpm_status.txt,CP01CNSM-MFC31-00-CPMENG000,telemetered,Available,
Ingest.cg-dcl-eng-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl35/syslog/*.syslog.log,CP01CNSM-MFD35-00-DCLENG000,telemetered,Available,
Ingest.adcpt-acfgm-dcl-pd8_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl35/adcp/*.adcp.log,CP01CNSM-MFD35-01-ADCPTF000,telemetered,Available,
Ingest.presf-abc-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl35/presf/*.presf.log,CP01CNSM-MFD35-02-PRESFB000,telemetered,Available,
Ingest.velpt-ab-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl35/velpt2/*.velpt*.log,CP01CNSM-MFD35-04-VELPTA000,telemetered,Available,
Ingest.pco2w-abc-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl35/pco2w/*.pco2w.log,CP01CNSM-MFD35-05-PCO2WB000,telemetered,Available,
Ingest.phsen-abcdef-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl35/phsen2/*.phsen*.log,CP01CNSM-MFD35-06-PHSEND000,telemetered,Available,
Ingest.cg-dcl-eng-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl37/syslog/*.syslog.log,CP01CNSM-MFD37-00-DCLENG000,telemetered,Available,
Ingest.optaa-dj-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl37/optaa2/*.optaa*.log,CP01CNSM-MFD37-01-OPTAAD000,telemetered,Available,
Ingest.ctdbp-cdef-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl37/ctdbp2/*.ctdbp*.log,CP01CNSM-MFD37-03-CTDBPD000,telemetered,Available,
Ingest.dosta-abcdjm-dcl_telemetered,/omc_data/whoi/OMC/CP01CNSM/D00002/cg_data/dcl37/dosta2/*.dosta*.log,CP01CNSM-MFD37-04-DOSTAD000,telemetered,Available,
