uframe_route,filename_mask,reference_designator,data_source,status,notes
Ingest.dbg-pdbg-cspp_telemetered,/omc_data/whoi/OMC/CP01CNSP/D00004/extract/*PDBG.txt,CP01CNSP-SP001-00-SPPENG000,telemetered,Available,
#Ingest.wc-hmr-cspp_telemetered,/omc_data/whoi/OMC/CP01CNSP/D00004/extract/*WC_HMR.txt,CP01CNSP-SP001-00-SPPENG000,telemetered,Missing,No data on server
#Ingest.wc-sbe-cspp_telemetered,/omc_data/whoi/OMC/CP01CNSP/D00004/extract/*WC_SBE.txt,CP01CNSP-SP001-00-SPPENG000,telemetered,Missing,No data on server
#Ingest.wc-wm-cspp_telemetered,/omc_data/whoi/OMC/CP01CNSP/D00004/extract/*WC_WM.txt,CP01CNSP-SP001-00-SPPENG000,telemetered,Missing,No data on server
# Ingest.optaa-dj-cspp_telemetered,/omc_data/whoi/OMC/CP01CNSP/D00004/extract/ucspp_*_ACD_ACS.txt,CP01CNSP-SP001-02-OPTAAJ000,telemetered,Not Expected,Not sent in Telemetered data
# Ingest.nutnr-j-cspp_telemetered,/omc_data/whoi/OMC/CP01CNSP/D00004/extract/ucspp_*_SND_SNA.txt,CP01CNSP-SP001-03-NUTNRJ000,telemetered,Not Expected,Not sent in Telemetered data
Ingest.velpt-j-cspp_telemetered,/omc_data/whoi/OMC/CP01CNSP/D00004/extract/ucspp_*_PPD_ADCP.txt,CP01CNSP-SP001-05-VELPTJ000,telemetered,Available,
Ingest.dosta-abcdjm-cspp_telemetered,/omc_data/whoi/OMC/CP01CNSP/D00004/extract/ucspp_*_PPD_OPT.txt,CP01CNSP-SP001-06-DOSTAJ000,telemetered,Available,
Ingest.spkir-abj-cspp_telemetered,/omc_data/whoi/OMC/CP01CNSP/D00004/extract/ucspp_*_PPD_OCR.txt,CP01CNSP-SP001-07-SPKIRJ000,telemetered,Available,
Ingest.ctdpf-j-cspp_telemetered,/omc_data/whoi/OMC/CP01CNSP/D00004/extract/ucspp_*_PPD_CTD.txt,CP01CNSP-SP001-08-CTDPFJ000,telemetered,Available,
Ingest.flort-dj-cspp_telemetered,/omc_data/whoi/OMC/CP01CNSP/D00004/extract/ucspp_*_PPD_TRIP.txt,CP01CNSP-SP001-09-FLORTJ000,telemetered,Available,
Ingest.parad-j-cspp_telemetered,/omc_data/whoi/OMC/CP01CNSP/D00004/extract/ucspp_*_PPD_PARS.txt,CP01CNSP-SP001-10-PARADJ000,telemetered,Available,
