parser,filename_mask,reference_designator,data_source,status,notes
#mi.dataset.driver.adcps_jln.stc.adcps_jln_stc_recovered_driver,/omc_data/whoi/OMC/CP02PMCO/R00005/cg_data/dcl00/imm/adcpt/adcpt*.DAT,CP02PMCO-RII01-02-ADCPTG010,recovered_host,Missing,
mi.dataset.driver.adcps_jln.adcps_jln_driver,/omc_data/whoi/OMC/CP02PMCO/R00005/cg_data/dcl00/ADCP_sn19336/*_RDI_000.000,CP02PMCO-RII01-02-ADCPTG010,recovered_inst,Available,
#mi.dataset.driver.cg_stc_eng.stc.cg_stc_eng_stc_recovered_driver,/omc_data/whoi/OMC/CP02PMCO/R00005/cg_data/dcl00/irid2shore/stc_status.*_*.txt,CP02PMCO-SBS01-00-STCENG000,recovered_host,Missing,
#mi.dataset.driver.cg_stc_eng.stc.mopak_o_dcl_recovered_driver,/omc_data/whoi/OMC/CP02PMCO/R00005/cg_data/dcl00/MOPAK*/*_*.3dmgx3.log,CP02PMCO-SBS01-01-MOPAK0000,recovered_host,Missing,
mi.dataset.driver.WFP_ENG.STC_IMODEM.wfp_eng_stc_imodem_recovered_driver,/omc_data/whoi/OMC/CP02PMCO/R00005/cg_data/dcl00/CWFP_sn12991-01/*/E*.DA?,CP02PMCO-WFP01-00-WFPENG000,recovered_wfp,Available,
mi.dataset.driver.vel3d_k.wfp.vel3d_k_wfp_recovered_driver,/omc_data/whoi/OMC/CP02PMCO/R00005/cg_data/dcl00/CWFP_sn12991-01/*/A*.DA?,CP02PMCO-WFP01-01-VEL3DK000,recovered_wfp,Available,
mi.dataset.driver.dofst_k.wfp.dofst_k_wfp_recovered_driver,/omc_data/whoi/OMC/CP02PMCO/R00005/cg_data/dcl00/CWFP_sn12991-01/*/C*.DA?,CP02PMCO-WFP01-02-DOFSTK000,recovered_wfp,Available,
mi.dataset.driver.ctdpf_ckl.wfp.ctdpf_ckl_wfp_recovered_driver,/omc_data/whoi/OMC/CP02PMCO/R00005/cg_data/dcl00/CWFP_sn12991-01/*/C*.DA?,CP02PMCO-WFP01-03-CTDPFK000,recovered_wfp,Available,
mi.dataset.driver.flort_kn.stc_imodem.flort_kn__stc_imodem_recovered_driver,/omc_data/whoi/OMC/CP02PMCO/R00005/cg_data/dcl00/CWFP_sn12991-01/*/E*.DA?,CP02PMCO-WFP01-04-FLORTK000,recovered_wfp,Available,
mi.dataset.driver.PARAD_K.STC_IMODEM.parad_k_stc_imodem_recovered_driver,/omc_data/whoi/OMC/CP02PMCO/R00005/cg_data/dcl00/CWFP_sn12991-01/*/E*.DA?,CP02PMCO-WFP01-05-PARADK000,recovered_wfp,Available,
