uframe_route,filename_mask,reference_designator,data_source,
#Ingest.adcps-jln-stc_telemetered,/omc_data/whoi/OMC/CP02PMUO/D00004/imm/adcpt/adcpt_*_*.DAT,CP02PMUO-RII01-02-ADCPSL010,telemetered,No Data
#Ingest.vel3d-k-wfp-stc_telemetered,/omc_data/whoi/OMC/CP02PMUO/D00004/imm/mmp/A*.DEC,CP02PMUO-WFP01-01-VEL3DK000,telemetered,No Data
#Ingest.ctdpf-ckl-wfp_telemetered,/omc_data/whoi/OMC/CP02PMUO/D00004/imm/mmp/C*.DAT,CP02PMUO-WFP01-03-CTDPFK000,telemetered,No Data
#Ingest.dofst-k-wfp_telemetered,/omc_data/whoi/OMC/CP02PMUO/D00004/imm/mmp/C*.DAT,CP02PMUO-WFP01-02-DOFSTK000,telemetered,No Data
#Ingest.wfp-eng-stc-imodem_telemetered,/omc_data/whoi/OMC/CP02PMUO/D00004/imm/mmp/E*.DAT,CP02PMUO-WFP01-00-WFPENG000,telemetered,No Data
#Ingest.flort-kn-stc-imodem_telemetered,/omc_data/whoi/OMC/CP02PMUO/D00004/imm/mmp/E*.DAT,CP02PMUO-WFP01-04-FLORTK000,telemetered,No Data
#Ingest.parad-k-stc-imodem_telemetered,/omc_data/whoi/OMC/CP02PMUO/D00004/imm/mmp/E*.DAT,CP02PMUO-WFP01-05-PARADK000,telemetered,No Data
#Ingest.mopak-o-dcl_telemetered,/omc_data/whoi/OMC/CP02PMUO/D00004/3dmgx3/*_*.3dmgx3.log,CP02PMUO-SBS01-01-MOPAK0000,telemetered,No Data
#Ingest.cg-stc-eng-stc_telemetered,/omc_data/whoi/OMC/CP02PMUO/D00004/irid2shore/stc_status.*_*.txt,CP02PMUO-SBS01-00-STCENG000,telemetered,No Data
#Ingest.rte-o-dcl_telemetered,/omc_data/whoi/OMC/CP02PMUO/D00004/rte/*.rte.log,CP02PMUO-SBS01-00-RTE000000,telemetered,No Data
