uframe_route,filename_mask,reference_designator,data_source,,
# Ingest.vel3d-k-wfp_recovered,/omc_data/whoi/OMC/CP02PMUO/R00002/dcl00/CWFP_sn12991-02/A*.DA?,CP02PMUO-WFP01-01-VEL3DK000,recovered_wfp,,No data on server
# Ingest.ctdpf-ckl-wfp_recovered,/omc_data/whoi/OMC/CP02PMUO/R00002/dcl00/CWFP_sn12991-02/C*.DA?,CP02PMUO-WFP01-03-CTDPFK000,recovered_wfp,,No data on server
# Ingest.dofst-k-wfp_recovered,/omc_data/whoi/OMC/CP02PMUO/R00002/dcl00/CWFP_sn12991-02/C*.DA?,CP02PMUO-WFP01-02-DOFSTK000,recovered_wfp,,No data on server
# Ingest.wfp-eng-stc-imodem_recovered,/omc_data/whoi/OMC/CP02PMUO/R00002/dcl00/CWFP_sn12991-02/E*.DA?,CP02PMUO-WFP01-00-WFPENG000,recovered_wfp,,No data on server
# Ingest.flort-kn-stc-imodem_recovered,/omc_data/whoi/OMC/CP02PMUO/R00002/dcl00/CWFP_sn12991-02/E*.DA?,CP02PMUO-WFP01-04-FLORTK000,recovered_wfp,,No data on server
# Ingest.parad-k-stc-imodem_recovered,/omc_data/whoi/OMC/CP02PMUO/R00002/dcl00/CWFP_sn12991-02/E*.DA?,CP02PMUO-WFP01-05-PARADK000,recovered_wfp,,No data on server
Ingest.adcps-jln-stc_recovered,/omc_data/whoi/OMC/CP02PMUO/R00002/dcl00/ADCP*/*_000.000,CP02PMUO-RII01-02-ADCPSL010,recovered_inst,,
# Ingest.mopak-o-dcl_recovered,/omc_data/whoi/OMC/CP02PMUO/R00002/dcl00/cg_data/3dmgx3/*_*.3dmgx3.log,CP02PMUO-SBS01-01-MOPAK0000,recovered_host,,No data on Server
# Ingest.cg-stc-eng-stc_recovered,/omc_data/whoi/OMC/CP02PMUO/R00002/dcl00/cg_data/irid2shore/stc_status.*_*.txt,CP02PMUO-SBS01-00-STCENG000,recovered_host,,No data on Server
# Ingest.rte-o-dcl_recovered,/omc_data/whoi/OMC/CP02PMUO/R00002/dcl00/cg_data/rte/*.rte.log,CP02PMUO-SBS01-00-RTE000000,recovered_host,,No data on Server
