uframe_route,filename_mask,reference_designator,data_source,Note that in the following we are using D0005 because the file structure was named incorrectly; it should be D00005.
Ingest.adcps-jln-stc_telemetered,/omc_data/whoi/OMC/CP02PMUO/D0005/imm/adcpt/adcpt_*_*.DAT,CP02PMUO-RII01-01-ADCPTL000,telemetered,It appears that there is no ADCP data available.
Ingest.vel3d-k-wfp-stc_telemetered,/omc_data/whoi/OMC/CP02PMUO/D0005/imm/mmp/A*.DEC,CP02PMUO-WFP01-01-VEL3DK000,telemetered,
Ingest.ctdpf-ckl-wfp_telemetered,/omc_data/whoi/OMC/CP02PMUO/D0005/imm/mmp/C*.DAT,CP02PMUO-WFP01-03-CTDPFK000,telemetered,
Ingest.dofst-k-wfp_telemetered,/omc_data/whoi/OMC/CP02PMUO/D0005/imm/mmp/C*.DAT,CP02PMUO-WFP01-02-DOFSTK000,telemetered,
Ingest.wfp-eng-stc-imodem_telemetered,/omc_data/whoi/OMC/CP02PMUO/D0005/imm/mmp/E*.DAT,CP02PMUO-WFP01-00-WFPENG000,telemetered,
Ingest.flort-kn-stc-imodem_telemetered,/omc_data/whoi/OMC/CP02PMUO/D0005/imm/mmp/E*.DAT,CP02PMUO-WFP01-04-FLORTK000,telemetered,
Ingest.parad-k-stc-imodem_telemetered,/omc_data/whoi/OMC/CP02PMUO/D0005/imm/mmp/E*.DAT,CP02PMUO-WFP01-05-PARADK000,telemetered,
Ingest.mopak-o-dcl_telemetered,/omc_data/whoi/OMC/CP02PMUO/D0005/3dmgx3/*_*.3dmgx3.log,CP02PMUO-SBS01-01-MOPAK0000,telemetered,
Ingest.cg-stc-eng-stc_telemetered,/omc_data/whoi/OMC/CP02PMUO/D0005/irid2shore/stc_status.*_*.txt,CP02PMUO-SBS01-00-STCENG000,telemetered,
Ingest.rte-o-dcl_telemetered,/omc_data/whoi/OMC/CP02PMUO/D0005/rte/*.rte.log,CP02PMUO-SBS01-00-RTE000000,telemetered,It appears that there is no RTE data available.
