uframe_route,filename_mask,reference_designator,data_source
Ingest.mopak-o-dcl_telemetered,/omc_data/whoi/OMC/CP03ISSM/D00004/cg_data/dcl11/mopak/*.mopak.log,CP03ISSM-SBD11-01-MOPAK0000,telemetered
Ingest.metbk-a-dcl_telemetered,/omc_data/whoi/OMC/CP03ISSM/D00004/cg_data/dcl11/metbk/*.metbk*.log,CP03ISSM-SBD11-06-METBKA000,telemetered
Ingest.hyd-o-dcl_telemetered,/omc_data/whoi/OMC/CP03ISSM/D00004/cg_data/dcl11/hyd1/*hyd1.log,CP03ISSM-SBD11-02-HYDGN0000,telemetered
Ingest.hyd-o-dcl_telemetered,/omc_data/whoi/OMC/CP03ISSM/D00004/cg_data/dcl12/hyd2/*hyd2.log,CP03ISSM-SBD12-03-HYDGN0000,telemetered
Ingest.pco2a-a-dcl_telemetered,/omc_data/whoi/OMC/CP03ISSM/D00004/cg_data/dcl12/pco2a/*.pco2a.log,CP03ISSM-SBD12-04-PCO2AA000,telemetered
Ingest.velpt-ab-dcl_telemetered,/omc_data/whoi/OMC/CP03ISSM/D00004/cg_data/dcl26/velpt1/*.velpt1.log,CP03ISSM-RID26-04-VELPTA000,telemetered
Ingest.phsen-abcdef-dcl_telemetered,/omc_data/whoi/OMC/CP03ISSM/D00004/cg_data/dcl26/phsen1/*.phsen1.log,CP03ISSM-RID26-06-PHSEND000,telemetered
Ingest.nutnr-b-dcl-full_telemetered,/omc_data/whoi/OMC/CP03ISSM/D00004/cg_data/dcl26/nutnr/*.nutnr.log,CP03ISSM-RID26-07-NUTNRB000,telemetered
Ingest.spkir-abj-dcl_telemetered,/omc_data/whoi/OMC/CP03ISSM/D00004/cg_data/dcl26/spkir/*.spkir.log,CP03ISSM-RID26-08-SPKIRB000,telemetered
Ingest.optaa-dj-dcl_telemetered,/omc_data/whoi/OMC/CP03ISSM/D00004/cg_data/dcl27/optaa1/*.optaa1.log,CP03ISSM-RID27-01-OPTAAD000,telemetered
Ingest.flort-dj-dcl_telemetered,/omc_data/whoi/OMC/CP03ISSM/D00004/cg_data/dcl27/flort/*.flort.log,CP03ISSM-RID27-02-FLORTD000,telemetered
