parser,filename_mask,reference_designator,data_source,status,notes
#mi.dataset.driver.cg_cpm_eng.cpm.cg_cpm_eng_cpm_recovered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/cpm3/syslog/cpm_status*.txt,CP03ISSM-MFC31-00-CPMENG000,recovered_host,Not Expected,It was not routinely captured.
#mi.dataset.driver.cg_dcl_eng.dcl.cg_dcl_eng_dcl_recovered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/dcl35/syslog/*.syslog.log,CP03ISSM-MFD35-00-DCLENG000,recovered_host,Not Expected,It was not routinely captured.
#mi.dataset.driver.adcpt_acfgm.dcl.pd8.adcpt_acfgm_dcl_pd8_recovered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/dcl35/ADCP_sn18594/*adcp.log,CP03ISSM-MFD35-01-ADCPTF000,recovered_host,Available,PD8 data lack needed parameters; not ingested
mi.dataset.driver.adcps_jln.adcps_jln_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/dcl35/ADCP_sn18594/_RDI*.000,CP03ISSM-MFD35-01-ADCPTF000,recovered_inst,Available,
mi.dataset.driver.presf_abc.dcl.presf_abc_dcl_recovered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/dcl35/PRESF_sn1329/*presf.log,CP03ISSM-MFD35-02-PRESFB000,recovered_host,Available,
mi.dataset.driver.presf_abc.presf_abc_wave_recovered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/dcl35/PRESF_sn1329/PRESF*.hex,CP03ISSM-MFD35-02-PRESFB000,recovered_inst,Available,
mi.dataset.driver.velpt_ab.dcl.velpt_ab_dcl_recovered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/dcl35/VELPT_sn12234/*velpt2.log,CP03ISSM-MFD35-04-VELPTA000,recovered_host,Available,
mi.dataset.driver.velpt_ab.velpt_ab_recovered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/dcl35/VELPT_sn12234/*.aqd,CP03ISSM-MFD35-04-VELPTA000,recovered_inst,Available,
mi.dataset.driver.pco2w_abc.dcl.pco2w_abc_dcl_recovered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/dcl35/PCO2W_snC0098/*pco2w.log,CP03ISSM-MFD35-05-PCO2WB000,recovered_host,Available,
mi.dataset.driver.pco2w_abc.pco2w_abc_recovered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/dcl35/PCO2W_snC0098/SAMI*.txt,CP03ISSM-MFD35-05-PCO2WB000,recovered_inst,Available,
mi.dataset.driver.phsen_abcdef.dcl.phsen_abcdef_dcl_recovered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/dcl35/PHSEN_snP0095/*phsen2.log,CP03ISSM-MFD35-06-PHSEND000,recovered_host,Available,
mi.dataset.driver.phsen_abcdef.phsen_abcdef_recovered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/dcl35/PHSEN_snP0095/SAMI*.txt,CP03ISSM-MFD35-06-PHSEND000,recovered_inst,Available,
#mi.dataset.driver.cg_dcl_eng.dcl.cg_dcl_eng_dcl_recovered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/dcl37/syslog/*.syslog.log,CP03ISSM-MFD37-00-DCLENG000,recovered_host,Not Expected,It was not routinely captured.
mi.dataset.driver.optaa_dj.dcl.optaa_dj_dcl_recovered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/dcl37/OPTAA_sn130/*.optaa2*.log,CP03ISSM-MFD37-01-OPTAAD000,recovered_host,Available,
mi.dataset.driver.ctdbp_cdef.dcl.ctdbp_cdef_dcl_recovered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/dcl37/CTDBP_sn16-50058/*ctdbp2*.log,CP03ISSM-MFD37-03-CTDBPD000,recovered_host,Available,
mi.dataset.driver.ctdbp_cdef.ctdbp_cdef_recovered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/dcl37/CTDBP_sn16-50058/SBE*.hex,CP03ISSM-MFD37-03-CTDBPD000,recovered_inst,Available,
mi.dataset.driver.dosta_abcdjm.dcl.dosta_abcdjm_dcl_recovered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/dcl37/DOSTA_sn225/*dosta2*.log,CP03ISSM-MFD37-04-DOSTAD000,recovered_host,Available,
#mi.dataset.driver.zplsc_c.dcl.zplsc_c_dcl_telemetered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/dcl37/zplsc/*zplsc.log,CP03ISSM-MFD37-07-ZPLSCC000,recovered_host,Not Deployed,
#mi.dataset.driver.cg_cpm_eng.cpm.cg_cpm_eng_cpm_recovered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/cpm2/syslog/cpm_status*.txt,CP03ISSM-RIC21-00-CPMENG000,recovered_host,Not Expected,It was not routinely captured.
#mi.dataset.driver.cg_dcl_eng.dcl.cg_dcl_eng_dcl_recovered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/dcl26/syslog/*.syslog.log,CP03ISSM-RID26-00-DCLENG000,recovered_host,Not Expected,It was not routinely captured.
mi.dataset.driver.velpt_ab.dcl.velpt_ab_dcl_recovered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/dcl26/VELPT_sn12203/*velpt1.log,CP03ISSM-RID26-04-VELPTA000,recovered_host,Available,
mi.dataset.driver.velpt_ab.velpt_ab_recovered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/dcl26/VELPT_sn12203/*.aqd,CP03ISSM-RID26-04-VELPTA000,recovered_inst,Available,
mi.dataset.driver.phsen_abcdef.dcl.phsen_abcdef_dcl_recovered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/dcl26/PHSEN_snP00100/*phsen1.log,CP03ISSM-RID26-06-PHSEND000,recovered_host,Available,
mi.dataset.driver.phsen_abcdef.phsen_abcdef_recovered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/dcl26/PHSEN_snP00100/SAMI*.txt,CP03ISSM-RID26-06-PHSEND000,recovered_inst,Available,
mi.dataset.driver.nutnr_b.dcl_full.nutnr_b_dcl_full_recovered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/dcl26/NUTNR_sn270/*nutnr.log,CP03ISSM-RID26-07-NUTNRB000,recovered_host,Available,
mi.dataset.driver.nutnr_b.nutnr_b_recovered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/dcl26/NUTNR_sn270/SCH*.DAT,CP03ISSM-RID26-07-NUTNRB000,recovered_inst,Available,
mi.dataset.driver.spkir_abj.dcl.spkir_abj_dcl_recovered_driver,/omc_data/whoi/OMC/CP03ISSM/R00002/cg_data/dcl26/SPKIR_sn273/*.spkir*.log,CP03ISSM-RID26-08-SPKIRB000,recovered_host,Available,
