uframe_route,filename_mask,reference_designator,data_source
Ingest.dosta-abcdjm-cspp_recovered,/omc_data/whoi/OMC/CP03ISSP/R00001/extract/ucspp_*_PPB_OPT.txt,CP03ISSP-SP001-06-DOSTAJ000,recovered_cspp
Ingest.velpt-j-cspp_recovered,/omc_data/whoi/OMC/CP03ISSP/R00001/extract/ucspp_*_PPB_ADCP.txt,CP03ISSP-SP001-05-VELPTJ000,recovered_cspp
Ingest.optaa-dj-cspp_recovered,/omc_data/whoi/OMC/CP03ISSP/R00001/extract/ucspp_*_ACS_ACS.txt,CP03ISSP-SP001-02-OPTAAJ000,recovered_cspp
Ingest.nutnr-j-cspp_recovered,/omc_data/whoi/OMC/CP03ISSP/R00001/extract/ucspp_*_SNA_SNA.txt,CP03ISSP-SP001-03-NUTNRJ000,recovered_cspp
Ingest.spkir-abj-cspp_recovered,/omc_data/whoi/OMC/CP03ISSP/R00001/extract/ucspp_*_PPB_OCR.txt,CP03ISSP-SP001-07-SPKIRJ000,recovered_cspp
Ingest.flort-dj-cspp_recovered,/omc_data/whoi/OMC/CP03ISSP/R00001/extract/ucspp_*_PPB_TRIP.txt,CP03ISSP-SP001-09-FLORTJ000,recovered_cspp
Ingest.ctdpf-j-cspp_recovered,/omc_data/whoi/OMC/CP03ISSP/R00001/extract/ucspp_*_PPB_CTD.txt,CP03ISSP-SP001-08-CTDPFJ000,recovered_cspp
Ingest.parad-j-cspp_recovered,/omc_data/whoi/OMC/CP03ISSP/R00001/extract/ucspp_*_PPB_PARS.txt,CP03ISSP-SP001-10-PARADJ000,recovered_cspp
#,,,
Ingest.dbg-pdbg-cspp_recovered,/omc_data/whoi/OMC/CP03ISSP/R00001/extract/*PDBG.txt,CP03ISSP-SP001-00-SPPENG000,recovered_cspp
Ingest.wc-hmr-cspp_recovered,/omc_data/whoi/OMC/CP03ISSP/R00001/extract/*WC_HMR.txt,CP03ISSP-SP001-00-SPPENG000,recovered_cspp
Ingest.wc-sbe-cspp_recovered,/omc_data/whoi/OMC/CP03ISSP/R00001/extract/*WC_SBE.txt,CP03ISSP-SP001-00-SPPENG000,recovered_cspp
Ingest.wc-wm-cspp_recovered,/omc_data/whoi/OMC/CP03ISSP/R00001/extract/*WC_WM.txt,CP03ISSP-SP001-00-SPPENG000,recovered_cspp
