parser,filename_mask,reference_designator,data_source,status,notes
mi.dataset.driver.cg_cpm_eng.cpm.cg_cpm_eng_cpm_recovered_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/cg_data/cpm3/syslog/cpm_status*.txt,CP11SOSM-MFC31-00-CPMENG000,recovered_host,Available,
mi.dataset.driver.prtsz_a.dcl.prtsz_a_dcl_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/cg_data/dcl36/prtsz2/*.prtsz2.log,CP11SOSM-MFD36-01-PRTSZA000,recovered_host,Available,
mi.dataset.driver.cg_dcl_eng.dcl.cg_dcl_eng_dcl_recovered_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/cg_data/dcl36/syslog/*.syslog.log,CP11SOSM-MFD36-00-DCLENG000,recovered_host,Available,
mi.dataset.driver.presf_de.dcl.presf_de_dcl_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/cg_data/dcl36/presf/*.presf.log,CP11SOSM-MFD36-02-PRESFE000,recovered_host,Available,
mi.dataset.driver.turbd_a.dcl.turbd_a_dcl_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/cg_data/dcl36/turbd/*.turbd.log,CP11SOSM-MFD36-03-TURBDA000,recovered_host,Available,
mi.dataset.driver.velpt_ab.dcl.velpt_ab_dcl_recovered_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/cg_data/dcl36/velpt2/*.velpt2.log,CP11SOSM-MFD36-04-VELPTA000,recovered_host,Available,
mi.dataset.driver.velpt_ab.velpt_ab_recovered_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/instruments/dcl36/VELPT*/*.aqd,CP11SOSM-MFD36-04-VELPTA000,recovered_inst,Available,
mi.dataset.driver.pco2w_abc.dcl.pco2w_abc_dcl_recovered_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/cg_data/dcl36/pco2w/*.pco2w.log,CP11SOSM-MFD36-05-PCO2WB000,recovered_host,Available,
mi.dataset.driver.pco2w_abc.pco2w_abc_recovered_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/instruments/dcl36/PCO2W*/SAMI*.txt,CP11SOSM-MFD36-05-PCO2WB000,recovered_inst,Available,
mi.dataset.driver.phsen_abcdef.dcl.phsen_abcdef_dcl_recovered_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/cg_data/dcl36/phsen2/*.phsen2.log,CP11SOSM-MFD36-06-PHSEND000,recovered_host,Available,
mi.dataset.driver.phsen_abcdef.phsen_abcdef_recovered_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/instruments/dcl36/PHSEN*/SAMI*.txt,CP11SOSM-MFD36-06-PHSEND000,recovered_inst,Available,
mi.dataset.driver.cg_dcl_eng.dcl.cg_dcl_eng_dcl_recovered_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/cg_data/dcl37/syslog/*.syslog.log,CP11SOSM-MFD37-00-DCLENG000,recovered_host,Available,
mi.dataset.driver.optaa_dj.dcl.optaa_dj_dcl_recovered_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/cg_data/dcl37/optaa2/*.optaa2.log,CP11SOSM-MFD37-01-OPTAAD000,recovered_host,Available,
mi.dataset.driver.ctdbp_cdef.dcl.ctdbp_cdef_dcl_recovered_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/cg_data/dcl37/ctdbp2/*.ctdbp2.log,CP11SOSM-MFD37-03-CTDBPD000,recovered_host,Available,
#mi.dataset.driver.ctdbp_cdef.ctdbp_cdef_recovered_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/instruments/dcl37/CTDBP*/SBE*.hex,CP11SOSM-MFD37-03-CTDBPD000,recovered_inst,Not Available,
mi.dataset.driver.dosta_abcdjm.dcl.dosta_abcdjm_dcl_recovered_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/cg_data/dcl37/dosta2/*.dosta2.log,CP11SOSM-MFD37-04-DOSTAD000,recovered_host,Available,
mi.dataset.driver.adcpt_acfgm.dcl.pd0.adcpt_acfgm_dcl_pd0_recovered_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/cg_data/dcl37/adcp/*.adcp.log,CP11SOSM-MFD37-02-ADCPTF000,recovered_host,Available,
mi.dataset.driver.adcps_jln.adcps_jln_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/instruments/dcl37/ADCP*/*RDI*.000,CP11SOSM-MFD37-02-ADCPTF000,recovered_inst,Available,
mi.dataset.driver.zplsc_c.dcl.zplsc_c_dcl_telemetered_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/cg_data/dcl37/zplsc/*.zplsc.log,CP11SOSM-MFD37-07-ZPLSCC000,recovered_host,Available,
#mi.dataset.driver.zplsc_c.zplsc_echogram_uploader,/omc_data/whoi/OMC/CP11SOSM/R00001/instruments/dcl37/ZPLSC_sn*/processed/*/*Averaged.nc,CP11SOSM-MFD37-07-ZPLSCC000,recovered_inst,Expected,Processing TBD
mi.dataset.driver.cg_cpm_eng.cpm.cg_cpm_eng_cpm_recovered_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/cg_data/cpm2/syslog/cpm_status*.txt,CP11SOSM-RIC21-00-CPMENG000,recovered_host,Available,
mi.dataset.driver.cg_dcl_eng.dcl.cg_dcl_eng_dcl_recovered_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/cg_data/dcl26/syslog/*.syslog.log,CP11SOSM-RID26-00-DCLENG000,recovered_host,Available,
mi.dataset.driver.prtsz_a.dcl.prtsz_a_dcl_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/cg_data/dcl26/prtsz1/*.prtsz1.log,CP11SOSM-RID26-01-PRTSZA000,recovered_host,Available,
mi.dataset.driver.turbd_a.dcl.turbd_a_dcl_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/cg_data/dcl27/flort/*.flort.log,CP11SOSM-RID26-03-TURBDA000,recovered_host,Available,
mi.dataset.driver.velpt_ab.dcl.velpt_ab_dcl_recovered_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/cg_data/dcl26/velpt1/*.velpt1.log,CP11SOSM-RID26-04-VELPTA000,recovered_host,Available,
mi.dataset.driver.velpt_ab.velpt_ab_recovered_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/instruments/dcl26/VELPT*/*.aqd,CP11SOSM-RID26-04-VELPTA000,recovered_inst,Available,
mi.dataset.driver.phsen_abcdef.dcl.phsen_abcdef_dcl_recovered_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/cg_data/dcl26/phsen1/*.phsen1.log,CP11SOSM-RID26-06-PHSEND000,recovered_host,Available,
mi.dataset.driver.phsen_abcdef.phsen_abcdef_recovered_driver,/omc_data/whoi/OMC/CP11SOSM/R00001/instruments/dcl26/PHSEN*/SAMI*.txt,CP11SOSM-RID26-06-PHSEND000,recovered_inst,Available,
