uframe_route,filename_mask,reference_designator,data_source,status,notes
Ingest.cg-dcl-eng-dcl_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl16/syslog/*syslog.log,GA01SUMO-RID16-00-DCLENG000,recovered_host,Available,
Ingest.optaa-dj-dcl_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl16/optaa2/*.optaa2.log,GA01SUMO-RID16-01-OPTAAD000,recovered_host,Available,
Ingest.flort-dj-dcl_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl16/flort2/*.flort2.log,GA01SUMO-RID16-02-FLORTD000,recovered_host,Available,
Ingest.ctdbp-cdef-dcl_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl16/ctdbp/*ctdbp.log,GA01SUMO-RID16-03-CTDBPF000,recovered_host,Available,
Ingest.ctdbp-cdef_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/instruments/dcl16/CTDBP_sn16-50116/*.hex,GA01SUMO-RID16-03-CTDBPF000,recovered_inst,Available,
Ingest.velpt-ab-dcl_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl16/velpt/*.velpt.log,GA01SUMO-RID16-04-VELPTA000,recovered_host,Available,
#Ingest.velpt-ab_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/instruments/dcl16/VELPT_snAQD11402/*.aqd,GA01SUMO-RID16-04-VELPTA000,recovered_inst,Not Expected,No data - instrument didn't log internally
Ingest.pco2w-abc-dcl_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl16/pco2w/*.pco2w.log,GA01SUMO-RID16-05-PCO2WB000,recovered_host,Available,
Ingest.pco2w-abc_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/instruments/dcl16/PCO2W_snC0112/SAMI_C0112_111116.txt,GA01SUMO-RID16-05-PCO2WB000,recovered_inst,Available,
Ingest.dosta-abcdjm-dcl_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl16/dosta2/*.dosta2.log,GA01SUMO-RID16-06-DOSTAD000,recovered_host,Available,
Ingest.nutnr-b-dcl-full_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl16/nutnr2/*nutnr2.log,GA01SUMO-RID16-07-NUTNRB000,recovered_host,Available,
Ingest.nutnr-b_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/instruments/dcl16/NUTNR_sn275/*.DAT,GA01SUMO-RID16-07-NUTNRB000,recovered_inst,Available,
Ingest.spkir-abj-dcl_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl16/spkir2/*.spkir2.log,GA01SUMO-RID16-08-SPKIRB000,recovered_host,Available,
Ingest.adcps-jln-stc_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl11/imm/adcp/adcp*.DAT,GA01SUMO-RII11-02-ADCPSN010,recovered_host,Available,
Ingest.adcps-jln_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/instruments/dcl11/imm/ADCP_sn21638/*.000,GA01SUMO-RII11-02-ADCPSN010,recovered_inst,Available,
Ingest.ctdbp-p_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/instruments/dcl11/imm/CTDBP_sn16-50074/*.hex,GA01SUMO-RII11-02-CTDBPP031,recovered_inst,Available,
Ingest.ctdbp-p-dcl_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl11/imm/ctdbp01/ctdbp01*.DAT,GA01SUMO-RII11-02-CTDBPP031,recovered_host,Available,
Ingest.ctdbp-p_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/instruments/dcl11/imm/CTDBP_sn16-50075/*.hex,GA01SUMO-RII11-02-CTDBPP032,recovered_inst,Available,
Ingest.ctdbp-p-dcl_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl11/imm/ctdbp02/ctdbp02*.DAT,GA01SUMO-RII11-02-CTDBPP032,recovered_host,Available,
Ingest.ctdbp-p_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/instruments/dcl11/imm/CTDBP_sn16-50076/*.hex,GA01SUMO-RII11-02-CTDBPP033,recovered_inst,Available,
Ingest.ctdbp-p-dcl_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl11/imm/ctdbp03/ctdbp03*.DAT,GA01SUMO-RII11-02-CTDBPP033,recovered_host,Available,
Ingest.ctdmo-ghqr-imodem_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl11/imm/ctdmo01/ctdmo01*.DAT,GA01SUMO-RII11-02-CTDMOQ011,recovered_host,Available,
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/instruments/dcl11/imm/CTDMO_sn37-13378/*.hex,GA01SUMO-RII11-02-CTDMOQ011,recovered_inst,Available,
Ingest.ctdmo-ghqr-imodem_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl11/imm/ctdmo02/ctdmo02*.DAT,GA01SUMO-RII11-02-CTDMOQ012,recovered_host,Available,
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/instruments/dcl11/imm/CTDMO_sn37-13379/*.hex,GA01SUMO-RII11-02-CTDMOQ012,recovered_inst,Available,
Ingest.ctdmo-ghqr-imodem_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl11/imm/ctdmo03/ctdmo03*.DAT,GA01SUMO-RII11-02-CTDMOQ013,recovered_host,Available,
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/instruments/dcl11/imm/CTDMO_sn37-13380/*.hex,GA01SUMO-RII11-02-CTDMOQ013,recovered_inst,Available,
Ingest.ctdmo-ghqr-imodem_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl11/imm/ctdmo04/ctdmo04*.DAT,GA01SUMO-RII11-02-CTDMOQ014,recovered_host,Available,
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/instruments/dcl11/imm/CTDMO_sn37-13381/*.hex,GA01SUMO-RII11-02-CTDMOQ014,recovered_inst,Available,
Ingest.ctdmo-ghqr-imodem_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl11/imm/ctdmo05/ctdmo05*.DAT,GA01SUMO-RII11-02-CTDMOQ015,recovered_host,Available,
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/instruments/dcl11/imm/CTDMO_sn37-13555/*.hex,GA01SUMO-RII11-02-CTDMOQ015,recovered_inst,Available,
Ingest.ctdmo-ghqr-imodem_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl11/imm/ctdmo06/ctdmo06*.DAT,GA01SUMO-RII11-02-CTDMOQ016,recovered_host,Available,
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/instruments/dcl11/imm/CTDMO_sn37-13556/*.hex,GA01SUMO-RII11-02-CTDMOQ016,recovered_inst,Available,
Ingest.ctdmo-ghqr-imodem_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl11/imm/ctdmo07/ctdmo07*.DAT,GA01SUMO-RII11-02-CTDMOQ017,recovered_host,Available,
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/instruments/dcl11/imm/CTDMO_sn37-13557/*.hex,GA01SUMO-RII11-02-CTDMOQ017,recovered_inst,Available,
#Ingest.ctdmo-ghqr-imodem_recovered,,GA01SUMO-RII11-02-CTDMOQ031,recovered_host,Not Deployed,Not deployed
#Ingest.ctdmo-ghqr_recovered,,GA01SUMO-RII11-02-CTDMOQ031,recovered_inst,Not Deployed,Not deployed
#Ingest.ctdmo-ghqr-imodem_recovered,,GA01SUMO-RII11-02-CTDMOQ033,recovered_host,Not Deployed,Not deployed
#Ingest.ctdmo-ghqr_recovered,,GA01SUMO-RII11-02-CTDMOQ033,recovered_inst,Not Deployed,Not deployed
Ingest.ctdmo-ghqr-imodem_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl11/imm/ctdmo08/ctdmo08*.DAT,GA01SUMO-RII11-02-CTDMOR018,recovered_host,Available,
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/instruments/dcl11/imm/CTDMO_sn37-13629/*.hex,GA01SUMO-RII11-02-CTDMOR018,recovered_inst,Available,
Ingest.ctdmo-ghqr-imodem_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl11/imm/ctdmo09/ctdmo09*.DAT,GA01SUMO-RII11-02-CTDMOR019,recovered_host,Available,
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/instruments/dcl11/imm/CTDMO_sn37-13630/*.hex,GA01SUMO-RII11-02-CTDMOR019,recovered_inst,Available,
Ingest.ctdmo-ghqr-imodem_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl11/imm/ctdmo10/ctdmo10*.DAT,GA01SUMO-RII11-02-CTDMOR020,recovered_host,Available,
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/instruments/dcl11/imm/CTDMO_sn37-13648/*.hex,GA01SUMO-RII11-02-CTDMOR020,recovered_inst,Available,
Ingest.dosta-abcdjm-ctdbp-p-dcl_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl11/imm/ctdbp01/ctdbp01*.DAT,GA01SUMO-RII11-02-DOSTAD031,recovered_host,Available,
Ingest.dosta-abcdjm-ctdbp-p-dcl_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl11/imm/ctdbp02/ctdbp02*.DAT,GA01SUMO-RII11-02-DOSTAD032,recovered_host,Available,
Ingest.dosta-abcdjm-ctdbp-p-dcl_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl11/imm/ctdbp03/ctdbp03*.DAT,GA01SUMO-RII11-02-DOSTAD033,recovered_host,Available,
Ingest.flord-g-ctdbp-p-dcl_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl11/imm/ctdbp01/ctdbp01*.DAT,GA01SUMO-RII11-02-FLORDG031,recovered_host,Available,
Ingest.flord-g-ctdbp-p-dcl_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl11/imm/ctdbp02/ctdbp02*.DAT,GA01SUMO-RII11-02-FLORDG032,recovered_host,Available,
Ingest.flord-g-ctdbp-p-dcl_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl11/imm/ctdbp03/ctdbp03*.DAT,GA01SUMO-RII11-02-FLORDG033,recovered_host,Available,
Ingest.pco2w-abc-imodem_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl11/imm/pco2w1/pco2w1*.DAT,GA01SUMO-RII11-02-PCO2WC051,recovered_host,Available,
Ingest.pco2w-abc_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/instruments/dcl11/imm/PCO2W_snC0121/*.txt,GA01SUMO-RII11-02-PCO2WC051,recovered_inst,Available,
Ingest.pco2w-abc-imodem_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl11/imm/pco2w2/pco2w2*.DAT,GA01SUMO-RII11-02-PCO2WC052,recovered_host,Available,
Ingest.pco2w-abc_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/instruments/dcl11/imm/PCO2W_snC0122/*.txt,GA01SUMO-RII11-02-PCO2WC052,recovered_inst,Available,
#Ingest.pco2w-abc-imodem_recovered,,GA01SUMO-RII11-02-PCO2WC053,recovered_host,Not Deployed,Not deployed
#Ingest.pco2w-abc_recovered,,GA01SUMO-RII11-02-PCO2WC053,recovered_inst,Not Deployed,Not deployed
Ingest.phsen-abcdef-imodem_recovered,/omc_data/whoi/OMC/GA01SUMO/R00002/cg_data/dcl11/imm/phsen1/phsen1*.DAT,GA01SUMO-RII11-02-PHSENE041,recovered_host,Available,
