parser,filename_mask,reference_designator,data_source,status,notes
#,,GA02HYPM-MPM01-02-ZPLSGA009,telemetered,Not Deployed,Not installed
#,,GA02HYPM-MPM01-02-ZPLSGA010,telemetered,Not Deployed,Not installed
mi.dataset.driver.sio_eng.sio.sio_eng_sio_telemetered_driver,/omc_data/whoi/OMC/GA02HYPM/D00001/node*p1_*.status_*.dat,GA02HYPM-RIM01-00-SIOENG000,telemetered,Available,
mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_sio_telemetered_driver,/omc_data/whoi/OMC/GA02HYPM/D00001/*ctdmo*.dat,GA02HYPM-RIM01-02-CTDMOG039,telemetered,Available,
mi.dataset.driver.WFP_ENG.wfp_sio.wfp_eng_wfp_sio_telemetered_driver,/omc_data/whoi/OMC/GA02HYPM/D00001/*.we_wfp_1399421.dat,GA02HYPM-WFP02-00-WFPENG000,telemetered,Available,
mi.dataset.driver.flord_l_wfp.sio.flord_l_wfp_sio_telemetered_driver,/omc_data/whoi/OMC/GA02HYPM/D00001/*.we_wfp_1399421.dat,GA02HYPM-WFP02-01-FLORDL000,telemetered,Available,
mi.dataset.driver.dosta_ln.wfp_sio.dosta_ln_wfp_sio_telemetered_driver,/omc_data/whoi/OMC/GA02HYPM/D00001/*.we_wfp_1399421.dat,GA02HYPM-WFP02-03-DOSTAL000,telemetered,Available,
mi.dataset.driver.ctdpf_ckl.wfp_sio.ctdpf_ckl_wfp_sio_telemetered_driver,/omc_data/whoi/OMC/GA02HYPM/D00001/*.wc_wfp_1399421.dat,GA02HYPM-WFP02-04-CTDPFL000,telemetered,Available,
mi.dataset.driver.vel3d_l.wfp.sio.vel3d_l_wfp_sio_telemetered_driver,/omc_data/whoi/OMC/GA02HYPM/D00001/*.wa_wfp_1399421.dat,GA02HYPM-WFP02-05-VEL3DL000,telemetered,Available,
mi.dataset.driver.WFP_ENG.wfp_sio.wfp_eng_wfp_sio_telemetered_driver,/omc_data/whoi/OMC/GA02HYPM/D00001/*.we_wfp_1399422.dat,GA02HYPM-WFP03-00-WFPENG000,telemetered,Available,
mi.dataset.driver.flord_l_wfp.sio.flord_l_wfp_sio_telemetered_driver,/omc_data/whoi/OMC/GA02HYPM/D00001/*.we_wfp_1399422.dat,GA02HYPM-WFP03-01-FLORDL000,telemetered,Available,
mi.dataset.driver.dosta_ln.wfp_sio.dosta_ln_wfp_sio_telemetered_driver,/omc_data/whoi/OMC/GA02HYPM/D00001/*.we_wfp_1399422.dat,GA02HYPM-WFP03-03-DOSTAL000,telemetered,Available,
mi.dataset.driver.ctdpf_ckl.wfp_sio.ctdpf_ckl_wfp_sio_telemetered_driver,/omc_data/whoi/OMC/GA02HYPM/D00001/*.wc_wfp_1399422.dat,GA02HYPM-WFP03-04-CTDPFL000,telemetered,Available,
mi.dataset.driver.vel3d_l.wfp.sio.vel3d_l_wfp_sio_telemetered_driver,/omc_data/whoi/OMC/GA02HYPM/D00001/*.wa_wfp_1399422.dat,GA02HYPM-WFP03-05-VEL3DL000,telemetered,Available,
