uframe_route,filename_mask,reference_designator,data_source,
#Ingest.flord-l-wfp-sio_telemetered,/omc_data/whoi/OMC/GA02HYPM/D00002/*.we_wfp_1399421.dat,GA02HYPM-WFP02-01-FLORDL000,telemetered,Data not expected - glider not available to send data
#Ingest.dosta-ln-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GA02HYPM/D00002/*.we_wfp_1399421.dat,GA02HYPM-WFP02-03-DOSTAL000,telemetered,Data not expected - glider not available to send data
#Ingest.ctdpf-ckl-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GA02HYPM/D00002/*.wc_wfp_1399421.dat,GA02HYPM-WFP02-04-CTDPFL000,telemetered,Data not expected - glider not available to send data
#Ingest.vel3d-l-wfp-sio_telemetered,/omc_data/whoi/OMC/GA02HYPM/D00002/*.wa_wfp_1399421.dat,GA02HYPM-WFP02-05-VEL3DL000,telemetered,Data not expected - glider not available to send data
#Ingest.flord-l-wfp-sio_telemetered,/omc_data/whoi/OMC/GA02HYPM/D00002/*.we_wfp_1399422.dat,GA02HYPM-WFP03-01-FLORDL000,telemetered,Data not expected - glider not available to send data
#Ingest.dosta-ln-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GA02HYPM/D00002/*.we_wfp_1399422.dat,GA02HYPM-WFP03-03-DOSTAL000,telemetered,Data not expected - glider not available to send data
#Ingest.ctdpf-ckl-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GA02HYPM/D00002/*.wc_wfp_1399422.dat,GA02HYPM-WFP03-04-CTDPFL000,telemetered,Data not expected - glider not available to send data
#Ingest.vel3d-l-wfp-sio_telemetered,/omc_data/whoi/OMC/GA02HYPM/D00002/*.wa_wfp_1399422.dat,GA02HYPM-WFP03-05-VEL3DL000,telemetered,Data not expected - glider not available to send data
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GA02HYPM/D00002/*ctdmo*.dat,GA02HYPM-RIM01-02-CTDMOG039,telemetered,
Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GA02HYPM/D00002/node*p1_*.status_*.dat,GA02HYPM-RIM01-00-SIOENG000,telemetered,
#Ingest.wfp-eng-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GA02HYPM/D00002/*.we_wfp_1399422.dat,GA02HYPM-WFP03-00-WFPENG000,telemetered,Data not expected - glider not available to send data
#Ingest.wfp-eng-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GA02HYPM/D00002/*.we_wfp_1399421.dat,GA02HYPM-WFP02-00-WFPENG000,telemetered,Data not expected - glider not available to send data
#,,GA02HYPM-MPM01-02-ZPLSGA009,telemetered,Not installed
#,,GA02HYPM-MPM01-02-ZPLSGA010,telemetered,Not installed
