uframe_route,parser,filename_mask,reference_designator,data_source,status,notes
#,,,GA02HYPM-MPM01-02-ZPLSGA009,recovered_inst,Not Deployed,Not installed
#,,,GA02HYPM-MPM01-02-ZPLSGA010,recovered_inst,Not Deployed,Not installed
Ingest.sio-eng-sio_recovered,mi.dataset.driver.sio_eng.sio.sio_eng_sio_recovered_driver,/omc_data/whoi/OMC/GA02HYPM/R00001/cg_data/dcl00/MSIOC_sn/STA*.DA?,GA02HYPM-RIM01-00-SIOENG000,recovered_host,Available,
#Ingest.ctdmo-ghqr-sio_ctRecovered,mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_sio_ct_recovered_driver,/omc_data/whoi/OMC/GA02HYPM/R00001/cg_data/dcl00/CTDMO-G_sn12406/*.DAT,GA02HYPM-RIM01-02-CTDMOG039,recovered_host,Not Expected,Data not expected
Ingest.ctdmo-ghqr_recovered,mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_ct_recovered_driver,/omc_data/whoi/OMC/GA02HYPM/R00001/cg_data/dcl00/CTDMO-G_sn12406/*.hex,GA02HYPM-RIM01-02-CTDMOG039,recovered_inst,Available,
Ingest.wfp-eng-stc-imodem_recovered,mi.dataset.driver.WFP_ENG.STC_IMODEM.wfp_eng_stc_imodem_recovered_driver,/omc_data/whoi/OMC/GA02HYPM/R00001/cg_data/dcl00/UPPER_sn13104-04/00000/E*.DA?,GA02HYPM-WFP02-00-WFPENG000,recovered_wfp,Available,
Ingest.flord-l-wfp_recovered,mi.dataset.driver.flord_l_wfp.flord_l_wfp_recovered_driver,/omc_data/whoi/OMC/GA02HYPM/R00001/cg_data/dcl00/UPPER_sn13104-04/00000/E*.DA?,GA02HYPM-WFP02-01-FLORDL000,recovered_wfp,Available,
Ingest.dosta-ln-wfp_recovered,mi.dataset.driver.dosta_ln.wfp.dosta_ln_wfp_driver,/omc_data/whoi/OMC/GA02HYPM/R00001/cg_data/dcl00/UPPER_sn13104-04/00000/E*.DA?,GA02HYPM-WFP02-03-DOSTAL000,recovered_wfp,Available,
Ingest.ctdpf-ckl-wfp_recovered,mi.dataset.driver.ctdpf_ckl.wfp.ctdpf_ckl_wfp_recovered_driver,/omc_data/whoi/OMC/GA02HYPM/R00001/cg_data/dcl00/UPPER_sn13104-04/00000/C*.DA?,GA02HYPM-WFP02-04-CTDPFL000,recovered_wfp,Available,
Ingest.vel3d-l-wfp_recovered,mi.dataset.driver.vel3d_l.wfp.vel3d_l_wfp_recovered_driver,/omc_data/whoi/OMC/GA02HYPM/R00001/cg_data/dcl00/UPPER_sn13104-04/00000/A*.DA?,GA02HYPM-WFP02-05-VEL3DL000,recovered_wfp,Available,
Ingest.wfp-eng-stc-imodem_recovered,mi.dataset.driver.WFP_ENG.STC_IMODEM.wfp_eng_stc_imodem_recovered_driver,/omc_data/whoi/OMC/GA02HYPM/R00001/cg_data/dcl00/LOWER_sn13104-06/00000/E*.DA?,GA02HYPM-WFP03-00-WFPENG000,recovered_wfp,Available,
Ingest.flord-l-wfp_recovered,mi.dataset.driver.flord_l_wfp.flord_l_wfp_recovered_driver,/omc_data/whoi/OMC/GA02HYPM/R00001/cg_data/dcl00/LOWER_sn13104-06/00000/E*.DA?,GA02HYPM-WFP03-01-FLORDL000,recovered_wfp,Available,
Ingest.dosta-ln-wfp_recovered,mi.dataset.driver.dosta_ln.wfp.dosta_ln_wfp_driver,/omc_data/whoi/OMC/GA02HYPM/R00001/cg_data/dcl00/LOWER_sn13104-06/00000/E*.DA?,GA02HYPM-WFP03-03-DOSTAL000,recovered_wfp,Available,
Ingest.ctdpf-ckl-wfp_recovered,mi.dataset.driver.ctdpf_ckl.wfp.ctdpf_ckl_wfp_recovered_driver,/omc_data/whoi/OMC/GA02HYPM/R00001/cg_data/dcl00/LOWER_sn13104-06/00000/C*.DA?,GA02HYPM-WFP03-04-CTDPFL000,recovered_wfp,Available,
Ingest.vel3d-l-wfp_recovered,mi.dataset.driver.vel3d_l.wfp.vel3d_l_wfp_recovered_driver,/omc_data/whoi/OMC/GA02HYPM/R00001/cg_data/dcl00/LOWER_sn13104-06/00000/A*.DA?,GA02HYPM-WFP03-05-VEL3DL000,recovered_wfp,Available,
