parser,filename_mask,reference_designator,data_source,status,notes
mi.dataset.driver.zplsc_c.zplsc_echogram_uploader,/omc_data/whoi/OMC/GA02HYPM/R00003/instruments/ZPLSG_sn55073/processed/*/*Averaged.nc,GA02HYPM-MPM01-02-ZPLSGA009,recovered_inst,Available,
mi.dataset.driver.zplsc_c.zplsc_echogram_uploader,/omc_data/whoi/OMC/GA02HYPM/R00003/instruments/ZPLSG_sn55067/processed/*/*Averaged.nc,GA02HYPM-MPM01-02-ZPLSGA010,recovered_inst,Available,
mi.dataset.driver.sio_eng.sio.sio_eng_sio_recovered_driver,/omc_data/whoi/OMC/GA02HYPM/R00003/cg_data/MSIOC_sn13988/STATUS/STA*.DA?,GA02HYPM-RIM01-00-SIOENG000,recovered_host,Available,
mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_sio_ct_recovered_driver,/omc_data/whoi/OMC/GA02HYPM/R00003/cg_data/MSIOC_sn13988/CTD/*.DAT,GA02HYPM-RIM01-02-CTDMOG039,recovered_host,Available,
mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_ct_recovered_driver,/omc_data/whoi/OMC/GA02HYPM/R00003/instruments/CTDMO_sn37-11648/*.hex,GA02HYPM-RIM01-02-CTDMOG039,recovered_inst,Available,
mi.dataset.driver.WFP_ENG.STC_IMODEM.wfp_eng_stc_imodem_recovered_driver,/omc_data/whoi/OMC/GA02HYPM/R00003/instruments/GWFP_sn13104-05/0*/E*.DA?,GA02HYPM-WFP02-00-WFPENG000,recovered_wfp,Available,
mi.dataset.driver.flord_l_wfp.flord_l_wfp_recovered_driver,/omc_data/whoi/OMC/GA02HYPM/R00003/instruments/GWFP_sn13104-05/0*/E*.DA?,GA02HYPM-WFP02-01-FLORDL000,recovered_wfp,Available,
mi.dataset.driver.dosta_ln.wfp.dosta_ln_wfp_driver,/omc_data/whoi/OMC/GA02HYPM/R00003/instruments/GWFP_sn13104-05/0*/E*.DA?,GA02HYPM-WFP02-03-DOSTAL000,recovered_wfp,Available,
mi.dataset.driver.ctdpf_ckl.wfp.ctdpf_ckl_wfp_recovered_driver,/omc_data/whoi/OMC/GA02HYPM/R00003/instruments/GWFP_sn13104-05/0*/C*.DA?,GA02HYPM-WFP02-04-CTDPFL000,recovered_wfp,Available,
mi.dataset.driver.vel3d_l.wfp.vel3d_l_wfp_recovered_driver,/omc_data/whoi/OMC/GA02HYPM/R00003/instruments/GWFP_sn13104-05/0*/A*.DA?,GA02HYPM-WFP02-05-VEL3DL000,recovered_wfp,Available,
mi.dataset.driver.WFP_ENG.STC_IMODEM.wfp_eng_stc_imodem_recovered_driver,/omc_data/whoi/OMC/GA02HYPM/R00003/instruments/GWFP_sn13104-04/0*/E*.DA?,GA02HYPM-WFP03-00-WFPENG000,recovered_wfp,Available,
mi.dataset.driver.flord_l_wfp.flord_l_wfp_recovered_driver,/omc_data/whoi/OMC/GA02HYPM/R00003/instruments/GWFP_sn13104-04/0*/E*.DA?,GA02HYPM-WFP03-01-FLORDL000,recovered_wfp,Available,
mi.dataset.driver.dosta_ln.wfp.dosta_ln_wfp_driver,/omc_data/whoi/OMC/GA02HYPM/R00003/instruments/GWFP_sn13104-04/0*/E*.DA?,GA02HYPM-WFP03-03-DOSTAL000,recovered_wfp,Available,
mi.dataset.driver.ctdpf_ckl.wfp.ctdpf_ckl_wfp_recovered_driver,/omc_data/whoi/OMC/GA02HYPM/R00003/instruments/GWFP_sn13104-04/0*/C*.DA?,GA02HYPM-WFP03-04-CTDPFL000,recovered_wfp,Available,
mi.dataset.driver.vel3d_l.wfp.vel3d_l_wfp_recovered_driver,/omc_data/whoi/OMC/GA02HYPM/R00003/instruments/GWFP_sn13104-04/0*/A*.DA?,GA02HYPM-WFP03-05-VEL3DL000,recovered_wfp,Available,
