uframe_route,filename_mask,reference_designator,data_source,status,notes
Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GA03FLMA/D00001/*status_1399501.dat,GA03FLMA-RIM01-00-SIOENG000,telemetered,Available,
Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GA03FLMA/D00001/*adcps*.dat,GA03FLMA-RIM01-02-ADCPSL003,telemetered,Available,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GA03FLMA/D00001/*ctdmo*.dat,GA03FLMA-RIM01-02-CTDMOG000,telemetered,Available,Wildcard refdes
#,/omc_data/whoi/OMC/GA03FLMA/D00001/*ctdmo*.dat,GA03FLMA-RIM01-02-CTDMOG040,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GA03FLMA/D00001/*ctdmo*.dat,GA03FLMA-RIM01-02-CTDMOG041,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GA03FLMA/D00001/*ctdmo*.dat,GA03FLMA-RIM01-02-CTDMOG042,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GA03FLMA/D00001/*ctdmo*.dat,GA03FLMA-RIM01-02-CTDMOG043,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GA03FLMA/D00001/*ctdmo*.dat,GA03FLMA-RIM01-02-CTDMOG044,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GA03FLMA/D00001/*ctdmo*.dat,GA03FLMA-RIM01-02-CTDMOG045,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GA03FLMA/D00001/*ctdmo*.dat,GA03FLMA-RIM01-02-CTDMOG046,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GA03FLMA/D00001/*ctdmo*.dat,GA03FLMA-RIM01-02-CTDMOG047,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GA03FLMA/D00001/*ctdmo*.dat,GA03FLMA-RIM01-02-CTDMOG048,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GA03FLMA/D00001/*ctdmo*.dat,GA03FLMA-RIM01-02-CTDMOH049,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GA03FLMA/D00001/*ctdmo*.dat,GA03FLMA-RIM01-02-CTDMOH050,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GA03FLMA/D00001/*ctdmo*.dat,GA03FLMA-RIM01-02-CTDMOH051,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GA03FLMA/D00001/*status_1398901.dat,GA03FLMA-RIS01-00-SIOENG000,telemetered,Available,
Ingest.dosta-abcdjm-sio_telemetered,/omc_data/whoi/OMC/GA03FLMA/D00001/*dosta*.dat,GA03FLMA-RIS01-03-DOSTAD000,telemetered,Available,
Ingest.phsen-abcdef-sio_telemetered,/omc_data/whoi/OMC/GA03FLMA/D00001/*phsen*.dat,GA03FLMA-RIS01-04-PHSENF000,telemetered,Available,
Ingest.flort-dj-sio_telemetered,/omc_data/whoi/OMC/GA03FLMA/D00001/*flort*.dat,GA03FLMA-RIS01-05-FLORTD000,telemetered,Available,
