uframe_route,filename_mask,reference_designator,data_source,status,notes
Ingest.sio-eng-sio_recovered,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/MSIOC/STA*.DAT,GA03FLMA-RIM01-00-SIOENG000,recovered_host,Available,
#Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/ADCPS_sn20503/ADC*.DAT,GA03FLMA-RIM01-02-ADCPSL003,recovered_host,Not Expected,Data not expected
Ingest.adcps-jln_recovered,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/ADCPS_sn20503/*.000,GA03FLMA-RIM01-02-ADCPSL003,recovered_inst,Available,
#Ingest.ctdmo-ghqr-sio_ctRecovered,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/CTDMOs_all/*.DAT,GA03FLMA-RIM01-02-CTDMOG000,recovered_host,Not Expected,Wildcard refdes. Data not expected
#,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/CTDMOs_all/*.DAT,GA03FLMA-RIM01-02-CTDMOG040,recovered_host,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. Data not expected
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/CTDMO_sn12401/*.hex,GA03FLMA-RIM01-02-CTDMOG040,recovered_inst,Available,29
#,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/CTDMOs_all/*.DAT,GA03FLMA-RIM01-02-CTDMOG041,recovered_host,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. Data not expected
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/CTDMO_sn12584/*.hex,GA03FLMA-RIM01-02-CTDMOG041,recovered_inst,Available,39
#,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/CTDMOs_all/*.DAT,GA03FLMA-RIM01-02-CTDMOG042,recovered_host,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. Data not expected
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/CTDMO_sn12408/*.hex,GA03FLMA-RIM01-02-CTDMOG042,recovered_inst,Available,59
#,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/CTDMOs_all/*.DAT,GA03FLMA-RIM01-02-CTDMOG043,recovered_host,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. Data not expected
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/CTDMO_sn12608/*.hex,GA03FLMA-RIM01-02-CTDMOG043,recovered_inst,Available,90
#,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/CTDMOs_all/*.DAT,GA03FLMA-RIM01-02-CTDMOG044,recovered_host,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. Data not expected
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/CTDMO_sn12609/*.hex,GA03FLMA-RIM01-02-CTDMOG044,recovered_inst,Available,130
#,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/CTDMOs_all/*.DAT,GA03FLMA-RIM01-02-CTDMOG045,recovered_host,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. Data not expected
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/CTDMO_sn12409/*.hex,GA03FLMA-RIM01-02-CTDMOG045,recovered_inst,Available,180
#,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/CTDMOs_all/*.DAT,GA03FLMA-RIM01-02-CTDMOG046,recovered_host,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. Data not expected
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/CTDMO_sn12412/*.hex,GA03FLMA-RIM01-02-CTDMOG046,recovered_inst,Available,250
#,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/CTDMOs_all/*.DAT,GA03FLMA-RIM01-02-CTDMOG047,recovered_host,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. Data not expected
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/CTDMO_sn12410/*.hex,GA03FLMA-RIM01-02-CTDMOG047,recovered_inst,Available,350
#,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/CTDMOs_all/*.DAT,GA03FLMA-RIM01-02-CTDMOG048,recovered_host,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. Data not expected
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/CTDMO_sn12396/*.hex,GA03FLMA-RIM01-02-CTDMOG048,recovered_inst,Available,501
#,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/CTDMOs_all/*.DAT,GA03FLMA-RIM01-02-CTDMOH049,recovered_host,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. Data not expected
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/CTDMO_sn12394/*.hex,GA03FLMA-RIM01-02-CTDMOH049,recovered_inst,Available,748
#,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/CTDMOs_all/*.DAT,GA03FLMA-RIM01-02-CTDMOH050,recovered_host,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. Data not expected
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/CTDMO_sn12618/*.hex,GA03FLMA-RIM01-02-CTDMOH050,recovered_inst,Available,999
#,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/CTDMOs_all/*.DAT,GA03FLMA-RIM01-02-CTDMOH051,recovered_host,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. Data not expected
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/CTDMO_sn12619/*.hex,GA03FLMA-RIM01-02-CTDMOH051,recovered_inst,Available,1501
Ingest.sio-eng-sio_recovered,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/SSIOC/STA*.DAT,GA03FLMA-RIS01-00-SIOENG000,recovered_host,Available,
Ingest.dosta-abcdjm-sio_recovered,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/DOSTA_sn428/DOS*.DAT,GA03FLMA-RIS01-03-DOSTAD000,recovered_host,Available,
Ingest.phsen-abcdef_recovered,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/PHSEN_snP0141/SAMI*.txt,GA03FLMA-RIS01-04-PHSENF000,recovered_inst,Available,
#Ingest.phsen-abcdef-imodem_recovered,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/PHSEN_snP0141/PHS*.DAT,GA03FLMA-RIS01-04-PHSENF000,recovered_host,Not Expected,Data not expected
Ingest.flort-dj-sio_recovered,/omc_data/whoi/OMC/GA03FLMA/R00001/cg_data/dcl00/FLORD_sn1215/FLO*.DAT,GA03FLMA-RIS01-05-FLORTD000,recovered_host,Available,
