parser,filename_mask,reference_designator,data_source,status,notes
#mi.dataset.driver.sio_eng.sio.sio_eng_sio_telemetered_driver,/omc_data/whoi/OMC/GA03FLMB/D00003/*status_1399001.dat,GA03FLMB-RIM01-00-SIOENG000,telemetered,Not Expected,No data expected
#mi.dataset.driver.adcps_jln.sio.adcps_jln_sio_telemetered_driver,/omc_data/whoi/OMC/GA03FLMB/D00003/*adcps*.dat,GA03FLMB-RIM01-02-ADCPSL007,telemetered,Not Expected,No data expected
#mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_sio_telemetered_driver,/omc_data/whoi/OMC/GA03FLMB/D00003/*ctdmo*.dat,GA03FLMB-RIM01-02-CTDMOG000,telemetered,Not Expected,Wildcard refdes. No data expected
#,/omc_data/whoi/OMC/GA03FLMB/D00003/*ctdmo*.dat,GA03FLMB-RIM01-02-CTDMOG060,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No data expected
#,/omc_data/whoi/OMC/GA03FLMB/D00003/*ctdmo*.dat,GA03FLMB-RIM01-02-CTDMOG061,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No data expected
#,/omc_data/whoi/OMC/GA03FLMB/D00003/*ctdmo*.dat,GA03FLMB-RIM01-02-CTDMOG062,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No data expected
#,/omc_data/whoi/OMC/GA03FLMB/D00003/*ctdmo*.dat,GA03FLMB-RIM01-02-CTDMOG063,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No data expected
#,/omc_data/whoi/OMC/GA03FLMB/D00003/*ctdmo*.dat,GA03FLMB-RIM01-02-CTDMOG064,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No data expected
#,/omc_data/whoi/OMC/GA03FLMB/D00003/*ctdmo*.dat,GA03FLMB-RIM01-02-CTDMOG065,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No data expected
#,/omc_data/whoi/OMC/GA03FLMB/D00003/*ctdmo*.dat,GA03FLMB-RIM01-02-CTDMOG066,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No data expected
#,/omc_data/whoi/OMC/GA03FLMB/D00003/*ctdmo*.dat,GA03FLMB-RIM01-02-CTDMOG067,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No data expected
#,/omc_data/whoi/OMC/GA03FLMB/D00003/*ctdmo*.dat,GA03FLMB-RIM01-02-CTDMOG068,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No data expected
#,/omc_data/whoi/OMC/GA03FLMB/D00003/*ctdmo*.dat,GA03FLMB-RIM01-02-CTDMOH069,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No data expected
#,/omc_data/whoi/OMC/GA03FLMB/D00003/*ctdmo*.dat,GA03FLMB-RIM01-02-CTDMOH070,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No data expected
#,/omc_data/whoi/OMC/GA03FLMB/D00003/*ctdmo*.dat,GA03FLMB-RIM01-02-CTDMOH071,telemetered,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. No data expected
#mi.dataset.driver.sio_eng.sio.sio_eng_sio_telemetered_driver,/omc_data/whoi/OMC/GA03FLMB/D00003/*status_1399401.dat,GA03FLMB-RIS01-00-SIOENG000,telemetered,Not Expected,No data expected
#mi.dataset.driver.dosta_abcdjm.sio.dosta_abcdjm_sio_telemetered_driver,/omc_data/whoi/OMC/GA03FLMB/D00003/*dosta*.dat,GA03FLMB-RIS01-03-DOSTAD000,telemetered,Not Expected,No data expected
#mi.dataset.driver.phsen_abcdef.sio.phsen_abcdef_sio_telemetered_driver,/omc_data/whoi/OMC/GA03FLMB/D00003/*phsen*.dat,GA03FLMB-RIS01-04-PHSENF000,telemetered,Not Expected,No data expected
#mi.dataset.driver.flort_dj.sio.flort_dj_sio_telemetered_driver,/omc_data/whoi/OMC/GA03FLMB/D00003/*flort*.dat,GA03FLMB-RIS01-05-FLORTD000,telemetered,Not Expected,No data expected
