uframe_route,filename_mask,reference_designator,data_source,status,notes
Ingest.cg-dcl-eng-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl16/syslog*/*syslog*.log,GI01SUMO-RID16-00-DCLENG000,telemetered,Available,
Ingest.optaa-dj-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl16/optaa*/*optaa*.log,GI01SUMO-RID16-01-OPTAAD000,telemetered,Available,
Ingest.flort-dj-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl16/flort*/*flort*.log,GI01SUMO-RID16-02-FLORTD000,telemetered,Available,
Ingest.ctdbp-cdef-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl16/ctdbp*/*ctdbp*.log,GI01SUMO-RID16-03-CTDBPF000,telemetered,Available,
Ingest.velpt-ab-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl16/velpt*/*velpt*.log,GI01SUMO-RID16-04-VELPTA000,telemetered,Available,
Ingest.pco2w-abc-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl16/pco2w*/*pco2w*.log,GI01SUMO-RID16-05-PCO2WB000,telemetered,Available,
# Ingest.dosta-abcdjm-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl16/dosta*/*dosta*.log,GI01SUMO-RID16-06-DOSTAD000,telemetered,Not Expected,No Dosta Data Received
Ingest.nutnr-b-dcl-conc_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl16/nutnr*/*nutnr*.log,GI01SUMO-RID16-07-NUTNRB000,telemetered,Available,
Ingest.spkir-abj-dcl_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl16/spkir*/*spkir*.log,GI01SUMO-RID16-08-SPKIRB000,telemetered,Available,
Ingest.adcps-jln-stc_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl11/imm/adcp/adcp*.DAT,GI01SUMO-RII11-02-ADCPSN010,telemetered,Available,
#,,GI01SUMO-RII11-02-CTDBPP031,telemetered,Not Deployed,Not deployed in this instance
#,,GI01SUMO-RII11-02-CTDBPP032,telemetered,Not Deployed,Not deployed in this instance
#,,GI01SUMO-RII11-02-CTDBPP033,telemetered,Not Deployed,Not deployed in this instance
Ingest.ctdmo-ghqr-imodem_telemetered,/omc_data/whoi/OMC/GI01SUMO/D00001/cg_data/dcl11/imm/ctdmo01/ctdmo*.DAT,GI01SUMO-RII11-02-CTDMOQ011,telemetered,Available,Inductive modem 11
