parser,filename_mask,reference_designator,data_source,status,notes
mi.dataset.driver.cg_dcl_eng.dcl.cg_dcl_eng_dcl_telemetered_driver,/omc_data/whoi/OMC/GI01SUMO/D00004/cg_data/dcl16/syslog/*syslog*.log,GI01SUMO-RID16-00-DCLENG000,telemetered,Available,
mi.dataset.driver.optaa_dj.dcl.optaa_dj_dcl_telemetered_driver,/omc_data/whoi/OMC/GI01SUMO/D00004/cg_data/dcl16/optaa2/*optaa*.log,GI01SUMO-RID16-01-OPTAAD000,telemetered,Available,
mi.dataset.driver.flort_dj.dcl.flort_dj_dcl_telemetered_driver,/omc_data/whoi/OMC/GI01SUMO/D00004/cg_data/dcl16/flort2/*flort*.log,GI01SUMO-RID16-02-FLORTD000,telemetered,Available,
mi.dataset.driver.ctdbp_cdef.dcl.ctdbp_cdef_dcl_telemetered_driver,/omc_data/whoi/OMC/GI01SUMO/D00004/cg_data/dcl16/ctdbp/*ctdbp*.log,GI01SUMO-RID16-03-CTDBPF000,telemetered,Available,
mi.dataset.driver.velpt_ab.dcl.velpt_ab_dcl_telemetered_driver,/omc_data/whoi/OMC/GI01SUMO/D00004/cg_data/dcl16/velpt/*velpt*.log,GI01SUMO-RID16-04-VELPTA000,telemetered,Available,
mi.dataset.driver.pco2w_abc.dcl.pco2w_abc_dcl_telemetered_driver,/omc_data/whoi/OMC/GI01SUMO/D00004/cg_data/dcl16/pco2w/*pco2w*.log,GI01SUMO-RID16-05-PCO2WB000,telemetered,Available,
mi.dataset.driver.dosta_abcdjm.dcl.dosta_abcdjm_dcl_telemetered_driver,/omc_data/whoi/OMC/GI01SUMO/D00004/cg_data/dcl16/dosta2/*dosta*.log,GI01SUMO-RID16-06-DOSTAD000,telemetered,Available,
mi.dataset.driver.nutnr_b.dcl_full.nutnr_b_dcl_full_telemetered_driver,/omc_data/whoi/OMC/GI01SUMO/D00004/cg_data/dcl16/nutnr2/*nutnr*.log,GI01SUMO-RID16-07-NUTNRB000,telemetered,Available,
mi.dataset.driver.spkir_abj.dcl.spkir_abj_dcl_telemetered_driver,/omc_data/whoi/OMC/GI01SUMO/D00004/cg_data/dcl16/spkir2/*spkir*.log,GI01SUMO-RID16-08-SPKIRB000,telemetered,Available,
mi.dataset.driver.adcps_jln.stc.adcps_jln_stc_telemetered_driver,/omc_data/whoi/OMC/GI01SUMO/D00004/cg_data/dcl11/imm/adcp/adcp*.DAT,GI01SUMO-RII11-02-ADCPSN010,telemetered,Pending,Can't parse files: WARNING File is not long enough to read header
mi.dataset.driver.ctdbp_p.dcl.ctdbp_p_dcl_telemetered_driver,/omc_data/whoi/OMC/GI01SUMO/D00004/cg_data/dcl11/imm/ctdbp01/ctdbp*.DAT,GI01SUMO-RII11-02-CTDBPP031,telemetered,Available,
mi.dataset.driver.ctdbp_p.dcl.ctdbp_p_dcl_telemetered_driver,/omc_data/whoi/OMC/GI01SUMO/D00004/cg_data/dcl11/imm/ctdbp02/ctdbp*.DAT,GI01SUMO-RII11-02-CTDBPP032,telemetered,Available,
mi.dataset.driver.ctdbp_p.dcl.ctdbp_p_dcl_telemetered_driver,/omc_data/whoi/OMC/GI01SUMO/D00004/cg_data/dcl11/imm/ctdbp03/ctdbp*.DAT,GI01SUMO-RII11-02-CTDBPP033,telemetered,Available,
mi.dataset.driver.ctdmo_ghqr.imodem.ctdmo_ghqr_imodem_telemetered_driver,/omc_data/whoi/OMC/GI01SUMO/D00004/cg_data/dcl11/imm/ctdmo01/ctdmo*.DAT,GI01SUMO-RII11-02-CTDMOQ011,telemetered,Available,
mi.dataset.driver.ctdmo_ghqr.imodem.ctdmo_ghqr_imodem_telemetered_driver,/omc_data/whoi/OMC/GI01SUMO/D00004/cg_data/dcl11/imm/ctdmo02/ctdmo*.DAT,GI01SUMO-RII11-02-CTDMOQ012,telemetered,Available,
mi.dataset.driver.ctdmo_ghqr.imodem.ctdmo_ghqr_imodem_telemetered_driver,/omc_data/whoi/OMC/GI01SUMO/D00004/cg_data/dcl11/imm/ctdmo03/ctdmo*.DAT,GI01SUMO-RII11-02-CTDMOQ013,telemetered,Available,
mi.dataset.driver.ctdmo_ghqr.imodem.ctdmo_ghqr_imodem_telemetered_driver,/omc_data/whoi/OMC/GI01SUMO/D00004/cg_data/dcl11/imm/ctdmo04/ctdmo*.DAT,GI01SUMO-RII11-02-CTDMOQ014,telemetered,Available,
mi.dataset.driver.ctdmo_ghqr.imodem.ctdmo_ghqr_imodem_telemetered_driver,/omc_data/whoi/OMC/GI01SUMO/D00004/cg_data/dcl11/imm/ctdmo05/ctdmo*.DAT,GI01SUMO-RII11-02-CTDMOQ015,telemetered,Available,
mi.dataset.driver.ctdmo_ghqr.imodem.ctdmo_ghqr_imodem_telemetered_driver,/omc_data/whoi/OMC/GI01SUMO/D00004/cg_data/dcl11/imm/ctdmo06/ctdmo*.DAT,GI01SUMO-RII11-02-CTDMOQ016,telemetered,Available,
mi.dataset.driver.ctdmo_ghqr.imodem.ctdmo_ghqr_imodem_telemetered_driver,/omc_data/whoi/OMC/GI01SUMO/D00004/cg_data/dcl11/imm/ctdmo07/ctdmo*.DAT,GI01SUMO-RII11-02-CTDMOQ017,telemetered,Available,
mi.dataset.driver.ctdmo_ghqr.imodem.ctdmo_ghqr_imodem_telemetered_driver,/omc_data/whoi/OMC/GI01SUMO/D00004/cg_data/dcl11/imm/ctdmo08/ctdmo*.DAT,GI01SUMO-RII11-02-CTDMOR018,telemetered,Available,
mi.dataset.driver.ctdmo_ghqr.imodem.ctdmo_ghqr_imodem_telemetered_driver,/omc_data/whoi/OMC/GI01SUMO/D00004/cg_data/dcl11/imm/ctdmo09/ctdmo*.DAT,GI01SUMO-RII11-02-CTDMOR019,telemetered,Available,
mi.dataset.driver.ctdmo_ghqr.imodem.ctdmo_ghqr_imodem_telemetered_driver,/omc_data/whoi/OMC/GI01SUMO/D00004/cg_data/dcl11/imm/ctdmo10/ctdmo*.DAT,GI01SUMO-RII11-02-CTDMOR020,telemetered,Available,
mi.dataset.driver.dosta_abcdjm.ctdbp_p.dcl.dosta_abcdjm_ctdbp_p_dcl_telemetered_driver,/omc_data/whoi/OMC/GI01SUMO/D00004/cg_data/dcl11/imm/ctdbp01/ctdbp*.DAT,GI01SUMO-RII11-02-DOSTAD031,telemetered,Available,
mi.dataset.driver.dosta_abcdjm.ctdbp_p.dcl.dosta_abcdjm_ctdbp_p_dcl_telemetered_driver,/omc_data/whoi/OMC/GI01SUMO/D00004/cg_data/dcl11/imm/ctdbp02/ctdbp*.DAT,GI01SUMO-RII11-02-DOSTAD032,telemetered,Available,
