parser,filename_mask,reference_designator,data_source,status,notes
mi.dataset.driver.cg_dcl_eng.dcl.cg_dcl_eng_dcl_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl16/syslog*/*syslog*.log,GI01SUMO-RID16-00-DCLENG000,recovered_host,Available,
mi.dataset.driver.optaa_dj.dcl.optaa_dj_dcl_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl16/OPTAA*/*.optaa*.log,GI01SUMO-RID16-01-OPTAAD000,recovered_host,Available,
mi.dataset.driver.flort_dj.dcl.flort_dj_dcl_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl16/FLORT*/*.flort2.log,GI01SUMO-RID16-02-FLORTD000,recovered_host,Available,
mi.dataset.driver.ctdbp_cdef.dcl.ctdbp_cdef_dcl_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl16/CTDBP*/*ctdbp.log,GI01SUMO-RID16-03-CTDBPF000,recovered_host,Available,
#mi.dataset.driver.ctdbp_cdef.ctdbp_cdef_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl16/CTDBP*/*.hex,GI01SUMO-RID16-03-CTDBPF000,recovered_inst,Not Expected,no inst data available due to damaged Y-cable
mi.dataset.driver.velpt_ab.dcl.velpt_ab_dcl_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl16/VELPT*/*.velpt*.log,GI01SUMO-RID16-04-VELPTA000,recovered_host,Available,
#mi.dataset.driver.velpt_ab.velpt_ab_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl16/VELPT*/*.aqd,GI01SUMO-RID16-04-VELPTA000,recovered_inst,Not Expected,Instrument did not log data internally
mi.dataset.driver.pco2w_abc.dcl.pco2w_abc_dcl_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl16/PCO2W*/*.pco2w.log,GI01SUMO-RID16-05-PCO2WB000,recovered_host,Available,
#mi.dataset.driver.pco2w_abc.pco2w_abc_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl16/PCO2W*/*.txt,GI01SUMO-RID16-05-PCO2WB000,recovered_inst,Not Expected,no inst data available
#mi.dataset.driver.dosta_abcdjm.ctdbp.dcl.dosta_abcdjm_ctdbp_dcl_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl16/CTDBP*/*ctdbp.log,GI01SUMO-RID16-06-DOSTAD000,recovered_host,Not Expected,Dosta was not correctly connected to CTDBP. No data available
mi.dataset.driver.nutnr_b.dcl_conc.nutnr_b_dcl_conc_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl16/NUTNR*/*.nutnr2.log,GI01SUMO-RID16-07-NUTNRB000,recovered_host,Available,
#mi.dataset.driver.nutnr_b.nutnr_b_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl16/NUTNR*/*.DAT,GI01SUMO-RID16-07-NUTNRB000,recovered_inst,Not Expected,no inst data available
mi.dataset.driver.spkir_abj.dcl.spkir_abj_dcl_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl16/SPKIR*/*.spkir2.log,GI01SUMO-RID16-08-SPKIRB000,recovered_host,Available,
mi.dataset.driver.adcps_jln.stc.adcps_jln_stc_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/ADCP_sn21717/adcp_*.DAT,GI01SUMO-RII11-02-ADCPSN010,recovered_host,Available,
mi.dataset.driver.adcps_jln.adcps_jln_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/ADCP_sn21717/*018.000,GI01SUMO-RII11-02-ADCPSN010,recovered_inst,Available,
#mi.dataset.driver.ctdbp_p.ctdbp_p_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDBP_sn*/SBE*.hex,GI01SUMO-RII11-02-CTDBPP031,recovered_inst,Not Deployed,Not deployed
#mi.dataset.driver.ctdbp_p.dcl.ctdbp_p_dcl_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDBP_sn*/*.DAT,GI01SUMO-RII11-02-CTDBPP031,recovered_host,Not Deployed,Not deployed
#mi.dataset.driver.ctdbp_p.ctdbp_p_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDBP_sn*/SBE*.hex,GI01SUMO-RII11-02-CTDBPP032,recovered_inst,Not Deployed,Not deployed
#mi.dataset.driver.ctdbp_p.dcl.ctdbp_p_dcl_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDBP_sn*/*.DAT,GI01SUMO-RII11-02-CTDBPP032,recovered_host,Not Deployed,Not deployed
#mi.dataset.driver.ctdbp_p.ctdbp_p_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDBP_sn*/SBE*.hex,GI01SUMO-RII11-02-CTDBPP033,recovered_inst,Not Deployed,Not deployed
#mi.dataset.driver.ctdbp_p.dcl.ctdbp_p_dcl_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDBP_sn*/*.DAT,GI01SUMO-RII11-02-CTDBPP033,recovered_host,Not Deployed,Not deployed
mi.dataset.driver.ctdmo_ghqr.imodem.ctdmo_ghqr_imodem_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11477/*.DAT,GI01SUMO-RII11-02-CTDMOQ011,recovered_host,Available,
mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_ct_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11477/*.hex,GI01SUMO-RII11-02-CTDMOQ011,recovered_inst,Available,
mi.dataset.driver.ctdmo_ghqr.imodem.ctdmo_ghqr_imodem_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11475/*.DAT,GI01SUMO-RII11-02-CTDMOQ012,recovered_host,Available,
mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_ct_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11475/*.hex,GI01SUMO-RII11-02-CTDMOQ012,recovered_inst,Available,
mi.dataset.driver.ctdmo_ghqr.imodem.ctdmo_ghqr_imodem_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11482/*.DAT,GI01SUMO-RII11-02-CTDMOQ013,recovered_host,Available,
mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_ct_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11482/*.hex,GI01SUMO-RII11-02-CTDMOQ013,recovered_inst,Available,
mi.dataset.driver.ctdmo_ghqr.imodem.ctdmo_ghqr_imodem_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11480/*.DAT,GI01SUMO-RII11-02-CTDMOQ014,recovered_host,Available,
mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_ct_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11480/*.hex,GI01SUMO-RII11-02-CTDMOQ014,recovered_inst,Available,
mi.dataset.driver.ctdmo_ghqr.imodem.ctdmo_ghqr_imodem_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11479/*.DAT,GI01SUMO-RII11-02-CTDMOQ015,recovered_host,Available,
mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_ct_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11479/*.hex,GI01SUMO-RII11-02-CTDMOQ015,recovered_inst,Available,
mi.dataset.driver.ctdmo_ghqr.imodem.ctdmo_ghqr_imodem_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11478/*.DAT,GI01SUMO-RII11-02-CTDMOQ016,recovered_host,Available,
mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_ct_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11478/*.hex,GI01SUMO-RII11-02-CTDMOQ016,recovered_inst,Available,
mi.dataset.driver.ctdmo_ghqr.imodem.ctdmo_ghqr_imodem_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37IM64183-8523/*.DAT,GI01SUMO-RII11-02-CTDMOQ017,recovered_host,Available,
mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_ct_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37IM64183-8523/*.hex,GI01SUMO-RII11-02-CTDMOQ017,recovered_inst,Available,
mi.dataset.driver.ctdmo_ghqr.imodem.ctdmo_ghqr_imodem_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11476/*.DAT,GI01SUMO-RII11-02-CTDMOQ031,recovered_host,Available,
mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_ct_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11476/*.hex,GI01SUMO-RII11-02-CTDMOQ031,recovered_inst,Available,
mi.dataset.driver.ctdmo_ghqr.imodem.ctdmo_ghqr_imodem_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11481/*.DAT*,GI01SUMO-RII11-02-CTDMOQ033,recovered_host,Available,
mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_ct_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11481/*.hex,GI01SUMO-RII11-02-CTDMOQ033,recovered_inst,Available,
mi.dataset.driver.ctdmo_ghqr.imodem.ctdmo_ghqr_imodem_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11484/*.DAT,GI01SUMO-RII11-02-CTDMOR018,recovered_host,Available,
mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_ct_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11484/*.hex,GI01SUMO-RII11-02-CTDMOR018,recovered_inst,Available,
mi.dataset.driver.ctdmo_ghqr.imodem.ctdmo_ghqr_imodem_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11485/*.DAT,GI01SUMO-RII11-02-CTDMOR019,recovered_host,Available,
mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_ct_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11485/*.hex,GI01SUMO-RII11-02-CTDMOR019,recovered_inst,Available,
mi.dataset.driver.ctdmo_ghqr.imodem.ctdmo_ghqr_imodem_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11483/*.DAT,GI01SUMO-RII11-02-CTDMOR020,recovered_host,Available,
mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_ct_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDMO_sn37-11483/*.hex,GI01SUMO-RII11-02-CTDMOR020,recovered_inst,Available,
#mi.dataset.driver.dosta_abcdjm.ctdbp_p.dosta_abcdjm_ctdbp_p_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDBP_sn*/SBE*.hex,GI01SUMO-RII11-02-DOSTAD031,recovered_inst,Not Deployed,Not deployed
#mi.dataset.driver.dosta_abcdjm.ctdbp_p.dcl.dosta_abcdjm_ctdbp_p_dcl_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDBP_sn*/*.DAT,GI01SUMO-RII11-02-DOSTAD031,recovered_host,Not Deployed,Not deployed
#mi.dataset.driver.dosta_abcdjm.ctdbp_p.dosta_abcdjm_ctdbp_p_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDBP_sn*/SBE*.hex,GI01SUMO-RII11-02-DOSTAD032,recovered_inst,Not Deployed,Not deployed
#mi.dataset.driver.dosta_abcdjm.ctdbp_p.dcl.dosta_abcdjm_ctdbp_p_dcl_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDBP_sn*/*.DAT,GI01SUMO-RII11-02-DOSTAD032,recovered_host,Not Deployed,Not deployed
#mi.dataset.driver.dosta_abcdjm.ctdbp_p.dosta_abcdjm_ctdbp_p_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDBP_sn*/SBE*.hex,GI01SUMO-RII11-02-DOSTAD033,recovered_inst,Not Deployed,Not deployed
#mi.dataset.driver.dosta_abcdjm.ctdbp_p.dcl.dosta_abcdjm_ctdbp_p_dcl_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDBP_sn*/*.DAT,GI01SUMO-RII11-02-DOSTAD033,recovered_host,Not Deployed,Not deployed
#mi.dataset.driver.flord_g.ctdbp_p.flord_g_ctdbp_p_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDBP_sn*/SBE*.hex,GI01SUMO-RII11-02-FLORDG031,recovered_inst,Not Deployed,Not deployed
#mi.dataset.driver.flord_g.ctdbp_p.dcl.flord_g_ctdbp_p_dcl_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDBP_sn*/*.DAT,GI01SUMO-RII11-02-FLORDG031,recovered_host,Not Deployed,Not deployed
#mi.dataset.driver.flord_g.ctdbp_p.flord_g_ctdbp_p_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDBP_sn*/SBE*.hex,GI01SUMO-RII11-02-FLORDG032,recovered_inst,Not Deployed,Not deployed
#mi.dataset.driver.flord_g.ctdbp_p.dcl.flord_g_ctdbp_p_dcl_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDBP_sn*/*.DAT,GI01SUMO-RII11-02-FLORDG032,recovered_host,Not Deployed,Not deployed
#mi.dataset.driver.flord_g.ctdbp_p.flord_g_ctdbp_p_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDBP_sn*/SBE*.hex,GI01SUMO-RII11-02-FLORDG033,recovered_inst,Not Deployed,Not deployed
#mi.dataset.driver.flord_g.ctdbp_p.dcl.flord_g_ctdbp_p_dcl_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/CTDBP_sn*/*.DAT,GI01SUMO-RII11-02-FLORDG033,recovered_host,Not Deployed,Not deployed
#mi.dataset.driver.pco2w_abc.imodem.pco2w_abc_imodem_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/PCO2W_sn*/*.DAT,GI01SUMO-RII11-02-PCO2WC051,recovered_host,Not Deployed,Not deployed
#mi.dataset.driver.pco2w_abc.pco2w_abc_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/PCO2W_sn*/SAMI*.txt,GI01SUMO-RII11-02-PCO2WC051,recovered_inst,Not Deployed,Not deployed
#mi.dataset.driver.pco2w_abc.imodem.pco2w_abc_imodem_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/PCO2W_sn*/*.DAT,GI01SUMO-RII11-02-PCO2WC052,recovered_host,Not Deployed,Not deployed
#mi.dataset.driver.pco2w_abc.pco2w_abc_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/PCO2W_sn*/SAMI*,GI01SUMO-RII11-02-PCO2WC052,recovered_inst,Not Deployed,Not deployed
#mi.dataset.driver.pco2w_abc.imodem.pco2w_abc_imodem_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/PCO2W_sn*/*.DAT,GI01SUMO-RII11-02-PCO2WC053,recovered_host,Not Deployed,Not deployed
#mi.dataset.driver.pco2w_abc.pco2w_abc_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/PCO2W_sn*/SAMI*,GI01SUMO-RII11-02-PCO2WC053,recovered_inst,Not Deployed,Not deployed
mi.dataset.driver.phsen_abcdef.imodem.phsen_abcdef_imodem_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/PHSEN_snP0071/*.DAT,GI01SUMO-RII11-02-PHSENE041,recovered_host,Available,
#mi.dataset.driver.phsen_abcdef.phsen_abcdef_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/PHSEN_snP0071/SAMI*.txt,GI01SUMO-RII11-02-PHSENE041,recovered_inst,Not Expected,no inst data available - instrument came apart during deployment
mi.dataset.driver.phsen_abcdef.imodem.phsen_abcdef_imodem_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/PHSEN_snP0101/*.DAT,GI01SUMO-RII11-02-PHSENE042,recovered_host,Available,
mi.dataset.driver.phsen_abcdef.phsen_abcdef_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/imm/PHSEN_snP0101/SAMI*.txt,GI01SUMO-RII11-02-PHSENE042,recovered_inst,Available,
#mi.dataset.driver.cg_cpm_eng.cpm.cg_cpm_eng_cpm_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/irid2shore/cpm_status*.txt,GI01SUMO-SBC11-00-CPMENG000,recovered_host,Not Expected,Recovered data not expected
mi.dataset.driver.cg_dcl_eng.dcl.cg_dcl_eng_dcl_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/syslog*/*syslog*.log,GI01SUMO-SBD11-00-DCLENG000,recovered_host,Available,
mi.dataset.driver.cg_stc_eng.stc.mopak_o_dcl_recovered_driver,/omc_data/whoi/OMC/GI01SUMO/R00001/cg_data/dcl11/MOPAK*/*.mopak.log,GI01SUMO-SBD11-01-MOPAK0000,recovered_host,Available,
