uframe_route,filename_mask,reference_designator,data_source,status,notes
Ingest.cg-dcl-eng-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl16/syslog/*syslog.log,GI01SUMO-RID16-00-DCLENG000,recovered_host,Available,
Ingest.optaa-dj-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl16/OPTAA_snACS222/*.optaa2.log,GI01SUMO-RID16-01-OPTAAD000,recovered_host,Available,
Ingest.flort-dj-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl16/FLORT_sn1295/*.flort2.log,GI01SUMO-RID16-02-FLORTD000,recovered_host,Available,
Ingest.ctdbp-cdef-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl16/CTDBP_sn16-50061/*ctdbp.log,GI01SUMO-RID16-03-CTDBPF000,recovered_host,Available,
Ingest.ctdbp-cdef_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl16/CTDBP_sn16-50061/SBE*.hex,GI01SUMO-RID16-03-CTDBPF000,recovered_inst,Available,
Ingest.velpt-ab-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl16/VELPT_snAQD12198/*.velpt*.log,GI01SUMO-RID16-04-VELPTA000,recovered_host,Available,
#Ingest.velpt-ab_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl16/VELPT_snAQD12198/*.aqd,GI01SUMO-RID16-04-VELPTA000,recovered_inst,Not Expected,Instrument didn't log internally
Ingest.pco2w-abc-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl16/PCO2W_snC0100/*.pco2w.log,GI01SUMO-RID16-05-PCO2WB000,recovered_host,Available,
Ingest.pco2w-abc_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl16/PCO2W_snC0100/*.txt,GI01SUMO-RID16-05-PCO2WB000,recovered_inst,Available,
Ingest.dosta-abcdjm-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl16/DOSTA_sn457/*dosta2.log,GI01SUMO-RID16-06-DOSTAD000,recovered_host,Available,
Ingest.nutnr-b-dcl-full_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl16/NUTNR_sn271/*.nutnr2.log,GI01SUMO-RID16-07-NUTNRB000,recovered_host,Available,
Ingest.nutnr-b_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl16/NUTNR_sn271/*.DAT,GI01SUMO-RID16-07-NUTNRB000,recovered_inst,Available,
Ingest.spkir-abj-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl16/SPKIR_sn275/*.spkir2.log,GI01SUMO-RID16-08-SPKIRB000,recovered_host,Available,
Ingest.adcps-jln-stc_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/ADCP_sn22865/adcp_*.DAT,GI01SUMO-RII11-02-ADCPSN010,recovered_host,Available,
Ingest.adcps-jln_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/ADCP_sn22865/_RDI*.000,GI01SUMO-RII11-02-ADCPSN010,recovered_inst,Available,
#Ingest.ctdbp-p_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDBP_sn16-50059/SBE*.hex,GI01SUMO-RII11-02-CTDBPP031,recovered_inst,Not Expected,Instrument lost
Ingest.ctdbp-p-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDBP_sn16-50059/*.DAT,GI01SUMO-RII11-02-CTDBPP031,recovered_host,Available,
Ingest.ctdbp-p_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDBP_sn16-50073/SBE*.hex,GI01SUMO-RII11-02-CTDBPP032,recovered_inst,Available,
Ingest.ctdbp-p-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDBP_sn16-50073/*.DAT,GI01SUMO-RII11-02-CTDBPP032,recovered_host,Available,
Ingest.ctdbp-p_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDBP_sn16-50072/SBE*.hex,GI01SUMO-RII11-02-CTDBPP033,recovered_inst,Available,
Ingest.ctdbp-p-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDBP_sn16-50072/*.DAT,GI01SUMO-RII11-02-CTDBPP033,recovered_host,Available,
Ingest.ctdmo-ghqr-imodem_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDMO_sn37-12934/*.DAT,GI01SUMO-RII11-02-CTDMOQ011,recovered_host,Available,
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDMO_sn37-12934/*.hex,GI01SUMO-RII11-02-CTDMOQ011,recovered_inst,Available,
Ingest.ctdmo-ghqr-imodem_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDMO_sn37-12935/*.DAT,GI01SUMO-RII11-02-CTDMOQ012,recovered_host,Available,
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDMO_sn37-12935/*.hex,GI01SUMO-RII11-02-CTDMOQ012,recovered_inst,Available,
Ingest.ctdmo-ghqr-imodem_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDMO_sn37-12936/*.DAT,GI01SUMO-RII11-02-CTDMOQ013,recovered_host,Available,
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDMO_sn37-12936/*.hex,GI01SUMO-RII11-02-CTDMOQ013,recovered_inst,Available,
Ingest.ctdmo-ghqr-imodem_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDMO_sn37-12937/*.DAT,GI01SUMO-RII11-02-CTDMOQ014,recovered_host,Available,
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDMO_sn37-12937/*.hex,GI01SUMO-RII11-02-CTDMOQ014,recovered_inst,Available,
Ingest.ctdmo-ghqr-imodem_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDMO_sn37-12938/*.DAT,GI01SUMO-RII11-02-CTDMOQ015,recovered_host,Available,
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDMO_sn37-12938/*.hex,GI01SUMO-RII11-02-CTDMOQ015,recovered_inst,Available,
Ingest.ctdmo-ghqr-imodem_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDMO_sn37-12939/*.DAT,GI01SUMO-RII11-02-CTDMOQ016,recovered_host,Available,
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDMO_sn37-12939/*.hex,GI01SUMO-RII11-02-CTDMOQ016,recovered_inst,Available,
Ingest.ctdmo-ghqr-imodem_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDMO_sn37-12940/*.DAT,GI01SUMO-RII11-02-CTDMOQ017,recovered_host,Available,
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDMO_sn37-12940/*.hex,GI01SUMO-RII11-02-CTDMOQ017,recovered_inst,Available,
#Ingest.ctdmo-ghqr-imodem_recovered,,GI01SUMO-RII11-02-CTDMOQ031,recovered_host,Not Deployed,Not deployed
#Ingest.ctdmo-ghqr_recovered,,GI01SUMO-RII11-02-CTDMOQ031,recovered_inst,Not Deployed,Not deployed
#Ingest.ctdmo-ghqr-imodem_recovered,,GI01SUMO-RII11-02-CTDMOQ033,recovered_host,Not Deployed,Not deployed
#Ingest.ctdmo-ghqr_recovered,,GI01SUMO-RII11-02-CTDMOQ033,recovered_inst,Not Deployed,Not deployed
Ingest.ctdmo-ghqr-imodem_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDMO_sn37-13375/*.DAT,GI01SUMO-RII11-02-CTDMOR018,recovered_host,Available,
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDMO_sn37-13375/*.hex,GI01SUMO-RII11-02-CTDMOR018,recovered_inst,Available,
Ingest.ctdmo-ghqr-imodem_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDMO_sn37-13376/*.DAT,GI01SUMO-RII11-02-CTDMOR019,recovered_host,Available,
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDMO_sn37-13376/*.hex,GI01SUMO-RII11-02-CTDMOR019,recovered_inst,Available,
Ingest.ctdmo-ghqr-imodem_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDMO_sn37-13377/*.DAT,GI01SUMO-RII11-02-CTDMOR020,recovered_host,Available,
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDMO_sn37-13377/*.hex,GI01SUMO-RII11-02-CTDMOR020,recovered_inst,Available,
Ingest.dosta-abcdjm-ctdbp-p-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDBP_sn16-50059/*.DAT,GI01SUMO-RII11-02-DOSTAD031,recovered_host,Available,
Ingest.dosta-abcdjm-ctdbp-p-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDBP_sn16-50073/*.DAT,GI01SUMO-RII11-02-DOSTAD032,recovered_host,Available,
Ingest.dosta-abcdjm-ctdbp-p-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDBP_sn16-50072/*.DAT,GI01SUMO-RII11-02-DOSTAD033,recovered_host,Available,
Ingest.flord-g-ctdbp-p-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDBP_sn16-50059/*.DAT,GI01SUMO-RII11-02-FLORDG031,recovered_host,Available,
Ingest.flord-g-ctdbp-p-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDBP_sn16-50073/*.DAT,GI01SUMO-RII11-02-FLORDG032,recovered_host,Available,
Ingest.flord-g-ctdbp-p-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/CTDBP_sn16-50072/*.DAT,GI01SUMO-RII11-02-FLORDG033,recovered_host,Available,
Ingest.pco2w-abc-imodem_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/PCO2W_snC0107/*.DAT,GI01SUMO-RII11-02-PCO2WC051,recovered_host,Available,
Ingest.pco2w-abc_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/PCO2W_snC0107/SAMI*.txt,GI01SUMO-RII11-02-PCO2WC051,recovered_inst,Available,
Ingest.pco2w-abc-imodem_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/PCO2W_snC0110/*.DAT,GI01SUMO-RII11-02-PCO2WC052,recovered_host,Available,
#Ingest.pco2w-abc_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/PCO2W_snC0110/SAMI*.txt,GI01SUMO-RII11-02-PCO2WC052,recovered_inst,Not Expected,Instrument damaged
Ingest.pco2w-abc-imodem_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/PCO2W_snC0120/*.DAT,GI01SUMO-RII11-02-PCO2WC053,recovered_host,Available,
Ingest.pco2w-abc_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/PCO2W_snC0120/SAMI*.txt,GI01SUMO-RII11-02-PCO2WC053,recovered_inst,Available,
Ingest.phsen-abcdef-imodem_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/PHSEN_snP0138/*.DAT,GI01SUMO-RII11-02-PHSENE041,recovered_host,Available,
Ingest.phsen-abcdef_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/PHSEN_snP0138/SAMI*.txt,GI01SUMO-RII11-02-PHSENE041,recovered_inst,Available,
Ingest.phsen-abcdef-imodem_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/PHSEN_snP0139/*.DAT,GI01SUMO-RII11-02-PHSENE042,recovered_host,Available,
Ingest.phsen-abcdef_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/imm/PHSEN_snP0139/SAMI*.txt,GI01SUMO-RII11-02-PHSENE042,recovered_inst,Available,
#Ingest.cg-cpm-eng-cpm_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/irid2shore/cpm_status*.txt,GI01SUMO-SBC11-00-CPMENG000,recovered_host,Not Expected,Recovered data not expected
Ingest.cg-dcl-eng-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/syslog/*syslog.log,GI01SUMO-SBD11-00-DCLENG000,recovered_host,Available,
Ingest.mopak-o-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/MOPAK*/*.mopak.log,GI01SUMO-SBD11-01-MOPAK0000,recovered_host,Available,
Ingest.hyd-o-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/Hydrogen_sn/*hyd1.log,GI01SUMO-SBD11-03-HYDGN0000,recovered_host,Available,
Ingest.dosta-abcdjm-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/DOSTA_sn456/*.dosta1.log,GI01SUMO-SBD11-04-DOSTAD000,recovered_host,Available,
Ingest.spkir-abj-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/SPKIR_sn288/*.spkir1.log,GI01SUMO-SBD11-05-SPKIRB000,recovered_host,Available,
Ingest.metbk-a-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/METBK-Log_snLGR021/*.metbk1.log,GI01SUMO-SBD11-06-METBKA000,recovered_host,Available,
Ingest.nutnr-b-dcl-full_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/NUTNR_sn274/*.nutnr1.log,GI01SUMO-SBD11-08-NUTNRB000,recovered_host,Available,
Ingest.nutnr-b_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl11/NUTNR_sn274/*.DAT,GI01SUMO-SBD11-08-NUTNRB000,recovered_inst,Available,
Ingest.cg-dcl-eng-dcl_recovered,/omc_data/whoi/OMC/GI01SUMO/R00002/cg_data/dcl12/syslog/*syslog.log,GI01SUMO-SBD12-00-DCLENG000,recovered_host,Available,
