uframe_route,filename_mask,reference_designator,data_source,,,
Ingest.flort-dj-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00001/*flort*.dat,GI03FLMB-RIS01-01-FLORTD000,telemetered,,,
Ingest.phsen-abcdef-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00001/*phsen*.dat,GI03FLMB-RIS01-02-PHSENE000,telemetered,,,
Ingest.dosta-abcdjm-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00001/*dosta*.dat,GI03FLMB-RIS01-03-DOSTAD000,telemetered,,,
Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00001/*adcps*.dat,GI03FLMB-RIS02-01-ADCPSL000,telemetered,,,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00001/*ctdmo*.dat,GI03FLMB-RIS02-03-CTDMOG000,telemetered,,,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00001/*ctdmo*.dat,GI03FLMB-RIS02-04-CTDMOG000,telemetered,,,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00001/*ctdmo*.dat,GI03FLMB-RIS02-05-CTDMOG000,telemetered,,,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00001/*ctdmo*.dat,GI03FLMB-RIS02-06-CTDMOG000,telemetered,,,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00001/*ctdmo*.dat,GI03FLMB-RIS02-07-CTDMOG000,telemetered,,,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00001/*ctdmo*.dat,GI03FLMB-RIS02-08-CTDMOG000,telemetered,,,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00001/*ctdmo*.dat,GI03FLMB-RIS02-09-CTDMOG000,telemetered,,,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00001/*ctdmo*.dat,GI03FLMB-RIS02-10-CTDMOG000,telemetered,,,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00001/*ctdmo*.dat,GI03FLMB-RIS02-11-CTDMOG000,telemetered,,,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00001/*ctdmo*.dat,GI03FLMB-RIS02-12-CTDMOH000,telemetered,,,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00001/*ctdmo*.dat,GI03FLMB-RIS02-13-CTDMOH000,telemetered,,,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00001/*ctdmo*.dat,GI03FLMB-RIS02-14-CTDMOH000,telemetered,,,
Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GI03FLMA/D00001/*status_1236901.dat,GI03FLMB-FMS01-01-SIOENG000,telemetered,,,
Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GI03FLMA/D00001/*status_1328501.dat,GI03FLMB-FMM01-01-SIOENG000,telemetered,,,
