uframe_route,filename_mask,reference_designator,data_source,status,notes
Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00003/*status_1328201.dat,GI03FLMB-RIM01-00-SIOENG000,telemetered,Available,
Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00003/*adcps*.dat,GI03FLMB-RIM01-02-ADCPSL007,telemetered,Available,
#,/omc_data/whoi/OMC/GI03FLMB/D00003/*ctdmo*.dat,GI03FLMB-RIM01-02-CTDMOG060,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GI03FLMB/D00003/*ctdmo*.dat,GI03FLMB-RIM01-02-CTDMOG061,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GI03FLMB/D00003/*ctdmo*.dat,GI03FLMB-RIM01-02-CTDMOG062,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GI03FLMB/D00003/*ctdmo*.dat,GI03FLMB-RIM01-02-CTDMOG063,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GI03FLMB/D00003/*ctdmo*.dat,GI03FLMB-RIM01-02-CTDMOG064,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GI03FLMB/D00003/*ctdmo*.dat,GI03FLMB-RIM01-02-CTDMOG065,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GI03FLMB/D00003/*ctdmo*.dat,GI03FLMB-RIM01-02-CTDMOG066,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GI03FLMB/D00003/*ctdmo*.dat,GI03FLMB-RIM01-02-CTDMOG067,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GI03FLMB/D00003/*ctdmo*.dat,GI03FLMB-RIM01-02-CTDMOG068,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GI03FLMB/D00003/*ctdmo*.dat,GI03FLMB-RIM01-02-CTDMOH069,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GI03FLMB/D00003/*ctdmo*.dat,GI03FLMB-RIM01-02-CTDMOH070,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GI03FLMB/D00003/*ctdmo*.dat,GI03FLMB-RIM01-02-CTDMOH071,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00003/*status_1011801.dat,GI03FLMB-RIS01-00-SIOENG000,telemetered,Available,
Ingest.dosta-abcdjm-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00003/*dosta*.dat,GI03FLMB-RIS01-03-DOSTAD000,telemetered,Available,
Ingest.phsen-abcdef-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00003/*phsen*.dat,GI03FLMB-RIS01-04-PHSENF000,telemetered,Available,
Ingest.flort-dj-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/D00003/*flort*.dat,GI03FLMB-RIS01-05-FLORTD000,telemetered,Available,
#,,GI03FLMB-RI000-00-CTDMOH000,telemetered,Not Expected,Does not telemeter data
#,,GI03FLMB-RI000-00-CTDMOH700,telemetered,Not Expected,Does not telemeter data
#,,GI03FLMB-RI000-00-CTDMOH400,telemetered,Not Expected,Does not telemeter data
#,,GI03FLMB-RI000-00-CTDMOH100,telemetered,Not Expected,Does not telemeter data
#,,GI03FLMB-RI000-00-VELPTB000,telemetered,Not Expected,Does not telemeter data
#,,GI03FLMB-RI000-00-VELPTB700,telemetered,Not Expected,Does not telemeter data
#,,GI03FLMB-RI000-00-VELPTB400,telemetered,Not Expected,Does not telemeter data
#,,GI03FLMB-RI000-00-VELPTB100,telemetered,Not Expected,Does not telemeter data
