uframe_route,filename_mask,reference_designator,data_source,status,notes
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI03FLMB/R00003/instruments/CTDMO_sn37-11597/*.hex,GI03FLMB-RI000-00-CTDMOH000,recovered_inst,Available,
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI03FLMB/R00003/instruments/CTDMO_sn37-11703/*.hex,GI03FLMB-RI000-00-CTDMOH100,recovered_inst,Available,
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI03FLMB/R00003/instruments/CTDMO_sn37-11600/*.hex,GI03FLMB-RI000-00-CTDMOH400,recovered_inst,Available,
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI03FLMB/R00003/instruments/CTDMO_sn37-11599/*.hex,GI03FLMB-RI000-00-CTDMOH700,recovered_inst,Available,
Ingest.velpt-ab_recovered,/omc_data/whoi/OMC/GI03FLMB/R00003/instruments/VELPT_snAQD-11970/*.aqd,GI03FLMB-RI000-00-VELPTB000,recovered_inst,Available,
Ingest.velpt-ab_recovered,/omc_data/whoi/OMC/GI03FLMB/R00003/instruments/VELPT_snAQD-11976/*.aqd,GI03FLMB-RI000-00-VELPTB100,recovered_inst,Available,
Ingest.velpt-ab_recovered,/omc_data/whoi/OMC/GI03FLMB/R00003/instruments/VELPT_snAQD-11974/*.aqd,GI03FLMB-RI000-00-VELPTB400,recovered_inst,Available,
Ingest.velpt-ab_recovered,/omc_data/whoi/OMC/GI03FLMB/R00003/instruments/VELPT_snAQD-11973/*.aqd,GI03FLMB-RI000-00-VELPTB700,recovered_inst,Available,
Ingest.sio-eng-sio_recovered,/omc_data/whoi/OMC/GI03FLMB/R00003/cg_data/MSIOC_sn13282/STATUS/STA*.DAT,GI03FLMB-RIM01-00-SIOENG000,recovered_host,Available,
Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GI03FLMB/R00003/cg_data/MSIOC_sn13282/ADCPS/ADC*.DAT,GI03FLMB-RIM01-02-ADCPSL007,recovered_host,Available,
Ingest.adcps-jln_recovered,/omc_data/whoi/OMC/GI03FLMB/R00003/instruments/ADCPS_sn21497/_RDI*.000,GI03FLMB-RIM01-02-ADCPSL007,recovered_inst,Available,
Ingest.ctdmo-ghqr-sio_ctRecovered,/omc_data/whoi/OMC/GI03FLMB/R00003/cg_data/MSIOC_sn13282/CTD/CTD*.DAT,GI03FLMB-RIM01-02-CTDMOG000,recovered_host,Available,Wildcard refdes
#,/omc_data/whoi/OMC/GI03FLMB/R00003/cg_data/MSIOC_sn13282/CTD/CTD*.DAT,GI03FLMB-RIM01-02-CTDMOG060,recovered_host,Available,Data assigned to refdes after ingestion with wildcard refdes.
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI03FLMB/R00003/instruments/CTDMO_sn37-12189/*.hex,GI03FLMB-RIM01-02-CTDMOG060,recovered_inst,Available,
#,/omc_data/whoi/OMC/GI03FLMB/R00003/cg_data/MSIOC_sn13282/CTD/CTD*.DAT,GI03FLMB-RIM01-02-CTDMOG061,recovered_host,Available,Data assigned to refdes after ingestion with wildcard refdes.
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI03FLMB/R00003/instruments/CTDMO_sn37-11613/*.hex,GI03FLMB-RIM01-02-CTDMOG061,recovered_inst,Available,
#,/omc_data/whoi/OMC/GI03FLMB/R00003/cg_data/MSIOC_sn13282/CTD/CTD*.DAT,GI03FLMB-RIM01-02-CTDMOG062,recovered_host,Available,Data assigned to refdes after ingestion with wildcard refdes.
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI03FLMB/R00003/instruments/CTDMO_sn37-11604/*.hex,GI03FLMB-RIM01-02-CTDMOG062,recovered_inst,Available,
#,/omc_data/whoi/OMC/GI03FLMB/R00003/cg_data/MSIOC_sn13282/CTD/CTD*.DAT,GI03FLMB-RIM01-02-CTDMOG063,recovered_host,Available,Data assigned to refdes after ingestion with wildcard refdes.
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI03FLMB/R00003/instruments/CTDMO_sn37-12190/*.hex,GI03FLMB-RIM01-02-CTDMOG063,recovered_inst,Available,
#,/omc_data/whoi/OMC/GI03FLMB/R00003/cg_data/MSIOC_sn13282/CTD/CTD*.DAT,GI03FLMB-RIM01-02-CTDMOG064,recovered_host,Available,Data assigned to refdes after ingestion with wildcard refdes.
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GI03FLMB/R00003/instruments/CTDMO_sn37-11608/*.hex,GI03FLMB-RIM01-02-CTDMOG064,recovered_inst,Available,
