parser,filename_mask,reference_designator,data_source,status,notes
#,,GP02HYPM-MPM01-02-ZPLSGA009,telemetered,Pending,Issues with data -  its in the mdd and nodeXXp1.dat files but MIOs think the data format was corrupted and the system won't be able to read it
#,,GP02HYPM-MPM01-02-ZPLSGA010,telemetered,Pending,Issues with data -  its in the mdd and nodeXXp1.dat files but MIOs think the data format was corrupted and the system won't be able to read it
mi.dataset.driver.sio_eng.sio.sio_eng_sio_telemetered_driver,/omc_data/whoi/OMC/GP02HYPM/D00004/*status*.dat,GP02HYPM-RIM01-00-SIOENG000,telemetered,Available,
mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_sio_telemetered_driver,/omc_data/whoi/OMC/GP02HYPM/D00004/*ctdmo*.dat,GP02HYPM-RIM01-02-CTDMOG039,telemetered,Available,
mi.dataset.driver.WFP_ENG.wfp_sio.wfp_eng_wfp_sio_telemetered_driver,/omc_data/whoi/OMC/GP02HYPM/D00004/*.we_wfp_1236921.dat,GP02HYPM-WFP02-00-WFPENG000,telemetered,Available,
mi.dataset.driver.flord_l_wfp.sio.flord_l_wfp_sio_telemetered_driver,/omc_data/whoi/OMC/GP02HYPM/D00004/*.we_wfp_1236921.dat,GP02HYPM-WFP02-01-FLORDL000,telemetered,Available,
mi.dataset.driver.dosta_ln.wfp_sio.dosta_ln_wfp_sio_telemetered_driver,/omc_data/whoi/OMC/GP02HYPM/D00004/*.we_wfp_1236921.dat,GP02HYPM-WFP02-03-DOSTAL000,telemetered,Available,
#mi.dataset.driver.ctdpf_ckl.wfp_sio.ctdpf_ckl_wfp_sio_telemetered_driver,/omc_data/whoi/OMC/GP02HYPM/D00004/*.wc_wfp_1236921.dat,GP02HYPM-WFP02-04-CTDPFL000,telemetered,Not Expected,Failed
mi.dataset.driver.vel3d_l.wfp.sio.vel3d_l_wfp_sio_telemetered_driver,/omc_data/whoi/OMC/GP02HYPM/D00004/*.wa_wfp_1236921.dat,GP02HYPM-WFP02-05-VEL3DL000,telemetered,Available,
mi.dataset.driver.WFP_ENG.wfp_sio.wfp_eng_wfp_sio_telemetered_driver,/omc_data/whoi/OMC/GP02HYPM/D00004/*.we_wfp_1236922.dat,GP02HYPM-WFP03-00-WFPENG000,telemetered,Available,
mi.dataset.driver.flord_l_wfp.sio.flord_l_wfp_sio_telemetered_driver,/omc_data/whoi/OMC/GP02HYPM/D00004/*.we_wfp_1236922.dat,GP02HYPM-WFP03-01-FLORDL000,telemetered,Available,
mi.dataset.driver.dosta_ln.wfp_sio.dosta_ln_wfp_sio_telemetered_driver,/omc_data/whoi/OMC/GP02HYPM/D00004/*.we_wfp_1236922.dat,GP02HYPM-WFP03-03-DOSTAL000,telemetered,Available,
mi.dataset.driver.ctdpf_ckl.wfp_sio.ctdpf_ckl_wfp_sio_telemetered_driver,/omc_data/whoi/OMC/GP02HYPM/D00004/*.wc_wfp_1236922.dat,GP02HYPM-WFP03-04-CTDPFL000,telemetered,Available,
mi.dataset.driver.vel3d_l.wfp.sio.vel3d_l_wfp_sio_telemetered_driver,/omc_data/whoi/OMC/GP02HYPM/D00004/*.wa_wfp_1236922.dat,GP02HYPM-WFP03-05-VEL3DL000,telemetered,Available,
