uframe_route,parser,filename_mask,reference_designator,data_source,status,notes
Ingest.sio-eng-sio_recovered,mi.dataset.driver.sio_eng.sio.sio_eng_sio_recovered_driver,/omc_data/whoi/OMC/GP03FLMA/R00002/cg_data/dcl00/MSIOC_SN_13278/STA*.DAT,GP03FLMA-RIM01-00-SIOENG000,recovered_host,Available,
Ingest.adcps-jln-sio_telemetered,mi.dataset.driver.adcps_jln.sio.adcps_jln_sio_telemetered_driver,/omc_data/whoi/OMC/GP03FLMA/R00002/cg_data/dcl00/ADCP_sn20502/ADC*.DAT,GP03FLMA-RIM01-02-ADCPSL003,recovered_host,Available,
Ingest.adcps-jln_recovered,mi.dataset.driver.adcps_jln.adcps_jln_driver,/omc_data/whoi/OMC/GP03FLMA/R00002/cg_data/dcl00/ADCP_sn20502/*.000,GP03FLMA-RIM01-02-ADCPSL003,recovered_inst,Available,
#Ingest.ctdmo-ghqr-sio_ctRecovered,mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_sio_ct_recovered_driver,,GP03FLMA-RIM01-02-CTDMOG000,recovered_host,Not Expected,Wildcard refdes. Data not expected
#,,,GP03FLMA-RIM01-02-CTDMOG040,recovered_host,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. Data not expected
Ingest.ctdmo-ghqr_recovered,mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_ct_recovered_driver,/omc_data/whoi/OMC/GP03FLMA/R00002/cg_data/dcl00/CTDMO-G_sn11642/SBE37*.hex,GP03FLMA-RIM01-02-CTDMOG040,recovered_inst,Available,
#,,,GP03FLMA-RIM01-02-CTDMOG041,recovered_host,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. Data not expected
Ingest.ctdmo-ghqr_recovered,mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_ct_recovered_driver,/omc_data/whoi/OMC/GP03FLMA/R00002/cg_data/dcl00/CTDMO-G_sn11637/SBE37*.hex,GP03FLMA-RIM01-02-CTDMOG041,recovered_inst,Available,
#,,,GP03FLMA-RIM01-02-CTDMOG042,recovered_host,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. Data not expected
Ingest.ctdmo-ghqr_recovered,mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_ct_recovered_driver,/omc_data/whoi/OMC/GP03FLMA/R00002/cg_data/dcl00/CTDMO-G_sn11643/SBE37*.hex,GP03FLMA-RIM01-02-CTDMOG042,recovered_inst,Available,
#,,,GP03FLMA-RIM01-02-CTDMOG043,recovered_host,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. Data not expected
Ingest.ctdmo-ghqr_recovered,mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_ct_recovered_driver,/omc_data/whoi/OMC/GP03FLMA/R00002/cg_data/dcl00/CTDMO-G_sn10225/SBE37*.hex,GP03FLMA-RIM01-02-CTDMOG043,recovered_inst,Available,
#,,,GP03FLMA-RIM01-02-CTDMOG044,recovered_host,Not Expected,Data assigned to refdes after ingestion with wildcard refdes. Data not expected
