parser,filename_mask,reference_designator,data_source,status,notes
mi.dataset.driver.sio_eng.sio.sio_eng_sio_recovered_driver,/omc_data/whoi/OMC/GP03FLMA/R00007/cg_data/MSIOC_sn*/STATUS/STA*.DAT,GP03FLMA-RIM01-00-SIOENG000,recovered_host,Available,
mi.dataset.driver.adcps_jln.sio.adcps_jln_sio_telemetered_driver,/omc_data/whoi/OMC/GP03FLMA/R00007/cg_data/MSIOC_sn*/ADCPS/ADC*.DAT,GP03FLMA-RIM01-02-ADCPSL003,recovered_host,Available,
mi.dataset.driver.adcps_jln.adcps_jln_driver,/omc_data/whoi/OMC/GP03FLMA/R00007/instruments/ADCPS_sn*/*.000,GP03FLMA-RIM01-02-ADCPSL003,recovered_inst,Available,
mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_sio_ct_recovered_driver,/omc_data/whoi/OMC/GP03FLMA/R00007/cg_data/MSIOC_sn*/CTD/CTD*.DAT,GP03FLMA-RIM01-02-CTDMOG000,recovered_host,Available,Wildcard refdes
#,/omc_data/whoi/OMC/GP03FLMA/R00007/cg_data/MSIOC_sn*/CTD/CTD*.DAT,GP03FLMA-RIM01-02-CTDMOG040,recovered_host,Available,Data assigned to refdes after ingestion with wildcard refdes.
mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_ct_recovered_driver,/omc_data/whoi/OMC/GP03FLMA/R00007/instruments/CTDMO_sn37-10216/SBE37*.hex,GP03FLMA-RIM01-02-CTDMOG040,recovered_inst,Available,
#,/omc_data/whoi/OMC/GP03FLMA/R00007/cg_data/MSIOC_sn*/CTD/CTD*.DAT,GP03FLMA-RIM01-02-CTDMOG041,recovered_host,Available,Data assigned to refdes after ingestion with wildcard refdes.
mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_ct_recovered_driver,/omc_data/whoi/OMC/GP03FLMA/R00007/instruments/CTDMO_sn37-11609/SBE37*.hex,GP03FLMA-RIM01-02-CTDMOG041,recovered_inst,Available,
#,/omc_data/whoi/OMC/GP03FLMA/R00007/cg_data/MSIOC_sn*/CTD/CTD*.DAT,GP03FLMA-RIM01-02-CTDMOG042,recovered_host,Available,Data assigned to refdes after ingestion with wildcard refdes.
mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_ct_recovered_driver,/omc_data/whoi/OMC/GP03FLMA/R00007/instruments/CTDMO_sn37-11637/SBE37*.hex,GP03FLMA-RIM01-02-CTDMOG042,recovered_inst,Available,
#,/omc_data/whoi/OMC/GP03FLMA/R00007/cg_data/MSIOC_sn*/CTD/CTD*.DAT,GP03FLMA-RIM01-02-CTDMOG043,recovered_host,Available,Data assigned to refdes after ingestion with wildcard refdes.
mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_ct_recovered_driver,/omc_data/whoi/OMC/GP03FLMA/R00007/instruments/CTDMO_sn37-11646/SBE37*.hex,GP03FLMA-RIM01-02-CTDMOG043,recovered_inst,Available,
#,/omc_data/whoi/OMC/GP03FLMA/R00007/cg_data/MSIOC_sn*/CTD/CTD*.DAT,GP03FLMA-RIM01-02-CTDMOG044,recovered_host,Available,Data assigned to refdes after ingestion with wildcard refdes.
