uframe_route,filename_mask,reference_designator,data_source,
Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00002/*adcps_*.dat,GP03FLMB-RIM01-02-ADCPSL007,telemetered,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00002/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG000,telemetered,Wildcard refdes
Ingest.dosta-abcdjm-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00002/*dosta_*.dat,GP03FLMB-RIS01-03-DOSTAD000,telemetered,
Ingest.flort-dj-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00002/*flort_*.dat,GP03FLMB-RIS01-05-FLORTD000,telemetered,
Ingest.phsen-abcdef-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00002/*phsen_*.dat,GP03FLMB-RIS01-04-PHSENF000,telemetered,
Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00002/*status_1011801.dat,GP03FLMB-RIS01-00-SIOENG000,telemetered,
Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00002/*status_1328201.dat,GP03FLMB-RIM01-00-SIOENG000,telemetered,
#,/omc_data/whoi/OMC/GP03FLMB/D00002/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG060,telemetered,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00002/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG061,telemetered,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00002/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG062,telemetered,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00002/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG063,telemetered,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00002/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG064,telemetered,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00002/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG065,telemetered,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00002/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG066,telemetered,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00002/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG067,telemetered,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00002/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG068,telemetered,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00002/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOH069,telemetered,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00002/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOH070,telemetered,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00002/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOH071,telemetered,Data assigned to refdes after ingestion with wildcard refdes.
