uframe_route,filename_mask,reference_designator,data_source,status,notes
Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00004/*status_1328501.dat,GP03FLMB-RIM01-00-SIOENG000,telemetered,Available,
Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00004/*adcps_*.dat,GP03FLMB-RIM01-02-ADCPSL007,telemetered,Available,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00004/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG000,telemetered,Available,Wildcard refdes
#,/omc_data/whoi/OMC/GP03FLMB/D00004/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG060,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00004/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG061,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00004/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG062,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00004/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG063,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00004/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG064,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00004/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG065,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00004/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG066,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00004/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG067,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00004/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG068,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00004/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOH069,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00004/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOH070,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00004/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOH071,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00004/*status_1328601.dat,GP03FLMB-RIS01-00-SIOENG000,telemetered,Available,
Ingest.dosta-abcdjm-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00004/*dosta_*.dat,GP03FLMB-RIS01-03-DOSTAD000,telemetered,Available,
#Ingest.phsen-abcdef-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00004/*phsen_*.dat,GP03FLMB-RIS01-04-PHSENF000,telemetered,Not Expected,Data not expected
Ingest.flort-dj-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/D00004/*flort_*.dat,GP03FLMB-RIS01-05-FLORTD000,telemetered,Available,
