parser,filename_mask,reference_designator,data_source,status,notes
mi.dataset.driver.sio_eng.sio.sio_eng_sio_telemetered_driver,/omc_data/whoi/OMC/GP03FLMB/D00011/*status_1487401.dat,GP03FLMB-RIM01-00-SIOENG000,telemetered,Available,
mi.dataset.driver.adcps_jln.sio.adcps_jln_sio_telemetered_driver,/omc_data/whoi/OMC/GP03FLMB/D00011/*adcps_*.dat,GP03FLMB-RIM01-02-ADCPSL007,telemetered,Available,
mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_sio_telemetered_driver,/omc_data/whoi/OMC/GP03FLMB/D00011/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG000,telemetered,Available,Wildcard refdes. 
#,/omc_data/whoi/OMC/GP03FLMB/D00011/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG060,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00011/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG061,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00011/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG062,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00011/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG063,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00011/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG064,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00011/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG065,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00011/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG066,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00011/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG067,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00011/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOG068,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00011/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOH069,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00011/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOH070,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GP03FLMB/D00011/*ctdmo_*.dat,GP03FLMB-RIM01-02-CTDMOH071,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
mi.dataset.driver.sio_eng.sio.sio_eng_sio_telemetered_driver,/omc_data/whoi/OMC/GP03FLMB/D00011/*status_1399501.dat,GP03FLMB-RIS01-00-SIOENG000,telemetered,Available,
mi.dataset.driver.dosta_abcdjm.sio.dosta_abcdjm_sio_telemetered_driver,/omc_data/whoi/OMC/GP03FLMB/D00011/*dosta_*.dat,GP03FLMB-RIS01-03-DOSTAD000,telemetered,Available,
mi.dataset.driver.phsen_abcdef.sio.phsen_abcdef_sio_telemetered_driver,/omc_data/whoi/OMC/GP03FLMB/D00011/*phsen_*.dat,GP03FLMB-RIS01-04-PHSENF000,telemetered,Available,
#mi.dataset.driver.flort_dj.sio.flort_dj_sio_telemetered_driver,/omc_data/whoi/OMC/GP03FLMB/D00011/*flort_*.dat,GP03FLMB-RIS01-05-FLORTD000,telemetered,Expected,Issue with date stamp; pending fix
