uframe_route,filename_mask,reference_designator,data_source
Ingest.adcps-jln_recovered,/omc_data/whoi/OMC/GP03FLMB/R00001/adcp/*.000,GP03FLMB-RIM01-02-ADCPSL007,recovered_inst
Ingest.ctdmo-ghqr-sio_recovered,/omc_data/whoi/OMC/GP03FLMB/R00001/ctdmo/CTD*.DAT,GP03FLMB-RIM01-02-CTDMOG000,recovered_host
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GP03FLMB/R00001/mc/SBE37*55*.hex,GP03FLMB-RIM01-02-CTDMOG060,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GP03FLMB/R00001/mc/SBE37*21*.hex,GP03FLMB-RIM01-02-CTDMOG061,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GP03FLMB/R00001/mc/SBE37*16*.hex,GP03FLMB-RIM01-02-CTDMOG062,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GP03FLMB/R00001/mc/SBE37*17*.hex,GP03FLMB-RIM01-02-CTDMOG063,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GP03FLMB/R00001/mc/SBE37*22*.hex,GP03FLMB-RIM01-02-CTDMOG064,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GP03FLMB/R00001/mc/SBE37*63*.hex,GP03FLMB-RIM01-02-CTDMOG065,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GP03FLMB/R00001/mc/SBE37*58*.hex,GP03FLMB-RIM01-02-CTDMOG066,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GP03FLMB/R00001/mc/SBE37*59*.hex,GP03FLMB-RIM01-02-CTDMOG067,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GP03FLMB/R00001/mc/SBE37*53*.hex,GP03FLMB-RIM01-02-CTDMOG068,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GP03FLMB/R00001/mc/SBE37*66*.hex,GP03FLMB-RIM01-02-CTDMOH069,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GP03FLMB/R00001/mc/SBE37*65*.hex,GP03FLMB-RIM01-02-CTDMOH070,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GP03FLMB/R00001/mc/SBE37*64*.hex,GP03FLMB-RIM01-02-CTDMOH071,recovered_inst
Ingest.dosta-abcdjm-sio_recovered,/omc_data/whoi/OMC/GP03FLMB/R00001/dosta/DOS*.DAT,GP03FLMB-RIS01-03-DOSTAD000,recovered_host
Ingest.flort-dj-sio_recovered,/omc_data/whoi/OMC/GP03FLMB/R00001/flort/FLO*.DAT,GP03FLMB-RIS01-05-FLORTD000,recovered_host
Ingest.phsen-abcdef_recovered,/omc_data/whoi/OMC/GP03FLMB/R00001/SAMI/SAMI*.txt,GP03FLMB-RIS01-04-PHSENF000,recovered_inst
Ingest.sio-eng-sio_recovered,/omc_data/whoi/OMC/GP03FLMB/R00001/Main_SIOC/status/STA*.DAT,GP03FLMB-FMM01-00-ENG000000,recovered_host
Ingest.sio-eng-sio_recovered,/omc_data/whoi/OMC/GP03FLMB/R00001/Secondary_SIOC/status/STA*.DAT,GP03FLMB-FMS01-00-ENG000000,recovered_host
