uframe_route,filename_mask,reference_designator,data_source,status,notes
Ingest.sio-eng-sio_recovered,/omc_data/whoi/OMC/GP03FLMB/R00004/cg_data/MSIOC_sn13285/STATUS/STA*.DAT,GP03FLMB-RIM01-00-SIOENG000,recovered_host,Available,
Ingest.adcps-jln-sio_telemetered,/omc_data/whoi/OMC/GP03FLMB/R00004/cg_data/MSIOC_sn13285/ADCPS/ADC*.DAT,GP03FLMB-RIM01-02-ADCPSL007,recovered_host,Available,
Ingest.adcps-jln_recovered,/omc_data/whoi/OMC/GP03FLMB/R00004/instruments/ADCPS_sn18351/*.000,GP03FLMB-RIM01-02-ADCPSL007,recovered_inst,Available,
Ingest.ctdmo-ghqr-sio_ctRecovered,/omc_data/whoi/OMC/GP03FLMB/R00004/cg_data/MSIOC_sn13285/CTD/CTD*.DAT,GP03FLMB-RIM01-02-CTDMOG000,recovered_host,Available,Wildcard refdes
#,/omc_data/whoi/OMC/GP03FLMB/R00004/cg_data/MSIOC_sn13285/CTD/CTD*.DAT,GP03FLMB-RIM01-02-CTDMOG060,recovered_host,Available,Data assigned to refdes after ingestion with wildcard refdes.
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GP03FLMB/R00004/instruments/CTDMO_sn37-11638/SBE37*.hex,GP03FLMB-RIM01-02-CTDMOG060,recovered_inst,Available,
#,/omc_data/whoi/OMC/GP03FLMB/R00004/cg_data/MSIOC_sn13285/CTD/CTD*.DAT,GP03FLMB-RIM01-02-CTDMOG061,recovered_host,Available,Data assigned to refdes after ingestion with wildcard refdes.
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GP03FLMB/R00004/instruments/CTDMO_sn37-11595/SBE37*.hex,GP03FLMB-RIM01-02-CTDMOG061,recovered_inst,Available,
#,/omc_data/whoi/OMC/GP03FLMB/R00004/cg_data/MSIOC_sn13285/CTD/CTD*.DAT,GP03FLMB-RIM01-02-CTDMOG062,recovered_host,Available,Data assigned to refdes after ingestion with wildcard refdes.
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GP03FLMB/R00004/instruments/CTDMO_sn37-10216/SBE37*.hex,GP03FLMB-RIM01-02-CTDMOG062,recovered_inst,Available,
#,/omc_data/whoi/OMC/GP03FLMB/R00004/cg_data/MSIOC_sn13285/CTD/CTD*.DAT,GP03FLMB-RIM01-02-CTDMOG063,recovered_host,Available,Data assigned to refdes after ingestion with wildcard refdes.
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GP03FLMB/R00004/instruments/CTDMO_sn37-10218/SBE37*.hex,GP03FLMB-RIM01-02-CTDMOG063,recovered_inst,Available,
#,/omc_data/whoi/OMC/GP03FLMB/R00004/cg_data/MSIOC_sn13285/CTD/CTD*.DAT,GP03FLMB-RIM01-02-CTDMOG064,recovered_host,Available,Data assigned to refdes after ingestion with wildcard refdes.
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GP03FLMB/R00004/instruments/CTDMO_sn37-10222/SBE37*.hex,GP03FLMB-RIM01-02-CTDMOG064,recovered_inst,Available,
#,/omc_data/whoi/OMC/GP03FLMB/R00004/cg_data/MSIOC_sn13285/CTD/CTD*.DAT,GP03FLMB-RIM01-02-CTDMOG065,recovered_host,Available,Data assigned to refdes after ingestion with wildcard refdes.
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GP03FLMB/R00004/instruments/CTDMO_sn37-10256/SBE37*.hex,GP03FLMB-RIM01-02-CTDMOG065,recovered_inst,Available,
#,/omc_data/whoi/OMC/GP03FLMB/R00004/cg_data/MSIOC_sn13285/CTD/CTD*.DAT,GP03FLMB-RIM01-02-CTDMOG066,recovered_host,Available,Data assigned to refdes after ingestion with wildcard refdes.
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GP03FLMB/R00004/instruments/CTDMO_sn37-10223/SBE37*.hex,GP03FLMB-RIM01-02-CTDMOG066,recovered_inst,Available,
#,/omc_data/whoi/OMC/GP03FLMB/R00004/cg_data/MSIOC_sn13285/CTD/CTD*.DAT,GP03FLMB-RIM01-02-CTDMOG067,recovered_host,Available,Data assigned to refdes after ingestion with wildcard refdes.
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GP03FLMB/R00004/instruments/CTDMO_sn37-10225/SBE37*.hex,GP03FLMB-RIM01-02-CTDMOG067,recovered_inst,Available,
#,/omc_data/whoi/OMC/GP03FLMB/R00004/cg_data/MSIOC_sn13285/CTD/CTD*.DAT,GP03FLMB-RIM01-02-CTDMOG068,recovered_host,Available,Data assigned to refdes after ingestion with wildcard refdes.
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GP03FLMB/R00004/instruments/CTDMO_sn37-11611/SBE37*.hex,GP03FLMB-RIM01-02-CTDMOG068,recovered_inst,Available,
#,/omc_data/whoi/OMC/GP03FLMB/R00004/cg_data/MSIOC_sn13285/CTD/CTD*.DAT,GP03FLMB-RIM01-02-CTDMOH069,recovered_host,Available,Data assigned to refdes after ingestion with wildcard refdes.
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GP03FLMB/R00004/instruments/CTDMO_sn37-10267/SBE37*.hex,GP03FLMB-RIM01-02-CTDMOH069,recovered_inst,Available,
#,/omc_data/whoi/OMC/GP03FLMB/R00004/cg_data/MSIOC_sn13285/CTD/CTD*.DAT,GP03FLMB-RIM01-02-CTDMOH070,recovered_host,Available,Data assigned to refdes after ingestion with wildcard refdes.
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GP03FLMB/R00004/instruments/CTDMO_sn37-12221/SBE37*.hex,GP03FLMB-RIM01-02-CTDMOH070,recovered_inst,Available,
#,/omc_data/whoi/OMC/GP03FLMB/R00004/cg_data/MSIOC_sn13285/CTD/CTD*.DAT,GP03FLMB-RIM01-02-CTDMOH071,recovered_host,Available,Data assigned to refdes after ingestion with wildcard refdes.
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GP03FLMB/R00004/instruments/CTDMO_sn37-10266/SBE37*.hex,GP03FLMB-RIM01-02-CTDMOH071,recovered_inst,Available,
Ingest.sio-eng-sio_recovered,/omc_data/whoi/OMC/GP03FLMB/R00004/cg_data/SSIOC_sn13286/STATUS/STA*.DAT,GP03FLMB-RIS01-00-SIOENG000,recovered_host,Available,
Ingest.dosta-abcdjm-sio_recovered,/omc_data/whoi/OMC/GP03FLMB/R00004/cg_data/SSIOC_sn13286/DOSTA/DOS*.DAT,GP03FLMB-RIS01-03-DOSTAD000,recovered_host,Available,
Ingest.phsen-abcdef_recovered,/omc_data/whoi/OMC/GP03FLMB/R00004/instruments/PHSEN_snP0143/SAMI*.txt,GP03FLMB-RIS01-04-PHSENF000,recovered_inst,Available,
Ingest.phsen-abcdef-imodem_recovered,/omc_data/whoi/OMC/GP03FLMB/R00004/cg_data/SSIOC_sn13286/PHSEN/PHS*.DAT,GP03FLMB-RIS01-04-PHSENF000,recovered_host,Available,
Ingest.flort-dj-sio_recovered,/omc_data/whoi/OMC/GP03FLMB/R00004/cg_data/SSIOC_sn13286/FLORT/FLO*.DAT,GP03FLMB-RIS01-05-FLORTD000,recovered_host,Available,
