uframe_route,parser,filename_mask,reference_designator,data_source,status,notes
#Ingest.cg-dcl-eng-dcl_recovered,mi.dataset.driver.cg_dcl_eng.dcl.cg_dcl_eng_dcl_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl16/syslog*/*syslog*.log,GS01SUMO-RID16-00-DCLENG000,recovered_host,Not Expected,Data not available
Ingest.optaa-dj-dcl_recovered,mi.dataset.driver.optaa_dj.dcl.optaa_dj_dcl_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl16/OPTAA*/*.optaa*.log,GS01SUMO-RID16-01-OPTAAD000,recovered_host,Available,
Ingest.flort-dj-dcl_recovered,mi.dataset.driver.flort_dj.dcl.flort_dj_dcl_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl16/FLORT*/*.flort2.log,GS01SUMO-RID16-02-FLORTD000,recovered_host,Available,
Ingest.ctdbp-cdef-dcl_recovered,mi.dataset.driver.ctdbp_cdef.dcl.ctdbp_cdef_dcl_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl16/CTDBP*/*ctdbp.log,GS01SUMO-RID16-03-CTDBPF000,recovered_host,Available,
Ingest.ctdbp-cdef_recovered,mi.dataset.driver.ctdbp_cdef.ctdbp_cdef_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl16/CTDBP*/*.hex,GS01SUMO-RID16-03-CTDBPF000,recovered_inst,Available,
Ingest.velpt-ab-dcl_recovered,mi.dataset.driver.velpt_ab.dcl.velpt_ab_dcl_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl16/VELPT*/*.velpt*.log,GS01SUMO-RID16-04-VELPTA000,recovered_host,Available,
#Ingest.velpt-ab_recovered,mi.dataset.driver.velpt_ab.velpt_ab_recovered_driver,,GS01SUMO-RID16-04-VELPTA000,recovered_inst,Not Expected,Data not expected
Ingest.pco2w-abc-dcl_recovered,mi.dataset.driver.pco2w_abc.dcl.pco2w_abc_dcl_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl16/PCO2W_snC0070/*.pco2w.log,GS01SUMO-RID16-05-PCO2WB000,recovered_host,Available,
#Ingest.pco2w-abc_recovered,mi.dataset.driver.pco2w_abc.pco2w_abc_recovered_driver,,GS01SUMO-RID16-05-PCO2WB000,recovered_inst,Not Expected,Data not available
Ingest.dosta-abcdjm-dcl_recovered,mi.dataset.driver.dosta_abcdjm.dcl.dosta_abcdjm_dcl_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00001/cg_data/dcl16/DOSTA_sn382/*dosta2.log,GS01SUMO-RID16-06-DOSTAD000,recovered_host,Available,
