parser,filename_mask,reference_designator,data_source,status,notes
mi.dataset.driver.cg_cpm_eng.cpm.cg_cpm_eng_cpm_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00004/cg_data/cpm2/syslog/cpm_status.txt,GS01SUMO-RIC21-00-CPMENG000,recovered_host,Available,
mi.dataset.driver.cg_dcl_eng.dcl.cg_dcl_eng_dcl_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00004/cg_data/dcl16/syslog/*syslog.log,GS01SUMO-RID16-00-DCLENG000,recovered_host,Available,
mi.dataset.driver.optaa_dj.dcl.optaa_dj_dcl_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00004/cg_data/dcl16/optaa2/*.optaa2.log,GS01SUMO-RID16-01-OPTAAD000,recovered_host,Available,
mi.dataset.driver.flort_dj.dcl.flort_dj_dcl_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00004/cg_data/dcl16/flort2/*.flort2.log,GS01SUMO-RID16-02-FLORTD000,recovered_host,Available,
mi.dataset.driver.ctdbp_cdef.dcl.ctdbp_cdef_dcl_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00004/cg_data/dcl16/ctdbp/*ctdbp.log,GS01SUMO-RID16-03-CTDBPF000,recovered_host,Available,
mi.dataset.driver.ctdbp_cdef.ctdbp_cdef_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00004/instruments/dcl16/CTDBP_sn16-*/*.hex,GS01SUMO-RID16-03-CTDBPF000,recovered_inst,Available,
mi.dataset.driver.velpt_ab.dcl.velpt_ab_dcl_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00004/cg_data/dcl16/velpt/*.velpt.log,GS01SUMO-RID16-04-VELPTA000,recovered_host,Available,
mi.dataset.driver.velpt_ab.velpt_ab_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00004/instruments/dcl16/VELPT_sn*/*.aqd,GS01SUMO-RID16-04-VELPTA000,recovered_inst,Available,
mi.dataset.driver.pco2w_abc.dcl.pco2w_abc_dcl_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00004/cg_data/dcl16/pco2w/*.pco2w.log,GS01SUMO-RID16-05-PCO2WB000,recovered_host,Available,
mi.dataset.driver.pco2w_abc.pco2w_abc_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00004/instruments/dcl16/PCO2W_snC0*/SAMI*.txt,GS01SUMO-RID16-05-PCO2WB000,recovered_inst,Available,
mi.dataset.driver.dosta_abcdjm.dcl.dosta_abcdjm_dcl_recovered_driver,/omc_data/whoi/OMC/GS01SUMO/R00004/cg_data/dcl16/dosta2/*dosta2.log,GS01SUMO-RID16-06-DOSTAD000,recovered_host,Available,
mi.dataset.driver.suna.suna_dcl_driver,/omc_data/whoi/OMC/GS01SUMO/R00004/cg_data/dcl16/nutnr2/*.nutnr2.log,GS01SUMO-RID16-07-NUTNRB000,recovered_host,Available,
