uframe_route,filename_mask,reference_designator,data_source,status,notes
#,,GS02HYPM-MPM01-02-ZPLSGA009,telemetered,Not Deployed,Not deployed
#,,GS02HYPM-MPM01-02-ZPLSGA010,telemetered,Not Deployed,Not deployed
Ingest.sio-eng-sio_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00002/node*p1_*.status_1487101.dat,GS02HYPM-RIM01-00-SIOENG000,telemetered,Available,
Ingest.ctdmo-ghqr-sio_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00002/*ctdmo*.dat,GS02HYPM-RIM01-02-CTDMOG039,telemetered,Available,
Ingest.wfp-eng-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00002/*.we_wfp_1487121.dat,GS02HYPM-WFP02-00-WFPENG000,telemetered,Available,
Ingest.flord-l-wfp-sio_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00002/*.we_wfp_1487121.dat,GS02HYPM-WFP02-01-FLORDL000,telemetered,Available,
Ingest.dosta-ln-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00002/*.we_wfp_1487121.dat,GS02HYPM-WFP02-03-DOSTAL000,telemetered,Available,
Ingest.ctdpf-ckl-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00002/*.wc_wfp_1487121.dat,GS02HYPM-WFP02-04-CTDPFL000,telemetered,Available,
Ingest.vel3d-l-wfp-sio_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00002/*.wa_wfp_1487121.dat,GS02HYPM-WFP02-05-VEL3DL000,telemetered,Available,
Ingest.wfp-eng-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00002/*.we_wfp_1487122.dat,GS02HYPM-WFP03-00-WFPENG000,telemetered,Available,
Ingest.flord-l-wfp-sio_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00002/*.we_wfp_1487122.dat,GS02HYPM-WFP03-01-FLORDL000,telemetered,Available,
Ingest.dosta-ln-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00002/*.we_wfp_1487122.dat,GS02HYPM-WFP03-03-DOSTAL000,telemetered,Available,
Ingest.ctdpf-ckl-wfp-sio-mule_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00002/*.wc_wfp_1487122.dat,GS02HYPM-WFP03-04-CTDPFL000,telemetered,Available,
Ingest.vel3d-l-wfp-sio_telemetered,/omc_data/whoi/OMC/GS02HYPM/D00002/*.wa_wfp_1487122.dat,GS02HYPM-WFP03-05-VEL3DL000,telemetered,Available,
