parser,filename_mask,reference_designator,data_source,status,notes
mi.dataset.driver.sio_eng.sio.sio_eng_sio_telemetered_driver,/omc_data/whoi/OMC/GS03FLMA/D00001/*.status_1399001.dat,GS03FLMA-RIM01-00-SIOENG000,telemetered,Available,
mi.dataset.driver.adcps_jln.sio.adcps_jln_sio_telemetered_driver,/omc_data/whoi/OMC/GS03FLMA/D00001/*adcps*.dat,GS03FLMA-RIM01-02-ADCPSL003,telemetered,Available,
mi.dataset.driver.ctdmo_ghqr.sio.ctdmo_ghqr_sio_telemetered_driver,/omc_data/whoi/OMC/GS03FLMA/D00001/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOG000,telemetered,Available,Wildcard refdes
#,/omc_data/whoi/OMC/GS03FLMA/D00001/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOG040,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GS03FLMA/D00001/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOG041,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GS03FLMA/D00001/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOG042,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GS03FLMA/D00001/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOG043,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GS03FLMA/D00001/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOG044,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GS03FLMA/D00001/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOG045,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GS03FLMA/D00001/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOG046,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GS03FLMA/D00001/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOG047,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GS03FLMA/D00001/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOG048,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GS03FLMA/D00001/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOH049,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GS03FLMA/D00001/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOH050,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
#,/omc_data/whoi/OMC/GS03FLMA/D00001/*ctdmo*.dat,GS03FLMA-RIM01-02-CTDMOH051,telemetered,Available,Data assigned to refdes after ingestion with wildcard refdes.
mi.dataset.driver.sio_eng.sio.sio_eng_sio_telemetered_driver,/omc_data/whoi/OMC/GS03FLMA/D00001/*.status_1398701.dat,GS03FLMA-RIS01-00-SIOENG000,telemetered,Available,
mi.dataset.driver.dosta_abcdjm.sio.dosta_abcdjm_sio_telemetered_driver,/omc_data/whoi/OMC/GS03FLMA/D00001/*dosta*.dat,GS03FLMA-RIS01-03-DOSTAD000,telemetered,Available,
mi.dataset.driver.phsen_abcdef.sio.phsen_abcdef_sio_telemetered_driver,/omc_data/whoi/OMC/GS03FLMA/D00001/*phsen*.dat,GS03FLMA-RIS01-04-PHSENF000,telemetered,Available,
mi.dataset.driver.flort_dj.sio.flort_dj_sio_telemetered_driver,/omc_data/whoi/OMC/GS03FLMA/D00001/*flort*.dat,GS03FLMA-RIS01-05-FLORTD000,telemetered,Available,
