uframe_route,filename_mask,reference_designator,data_source,
Ingest.adcps-jln_recovered,/omc_data/whoi/OMC/GS03FLMA/R00001/cg_data/dcl00/ADCPS_sn21450/*.000,GS03FLMA-RIM01-02-ADCPSL003,recovered_inst,
#Ingest.adcps-jln-stc_recovered,/omc_data/whoi/OMC/GS03FLMA/R00001/cg_data/dcl00/ADCPS_sn21450/ADC*.DAT,GS03FLMA-RIM01-02-ADCPSL003,recovered_host,Data not expected
Ingest.dosta-abcdjm-sio_recovered,/omc_data/whoi/OMC/GS03FLMA/R00001/cg_data/dcl00/DOSTA_sn393/DOS*.DAT,GS03FLMA-RIS01-03-DOSTAD000,recovered_host,
Ingest.flort-dj-sio_recovered,/omc_data/whoi/OMC/GS03FLMA/R00001/cg_data/dcl00/FLORD_sn1216/FLO*.DAT,GS03FLMA-RIS01-05-FLORTD000,recovered_host,
Ingest.phsen-abcdef_recovered,/omc_data/whoi/OMC/GS03FLMA/R00001/cg_data/dcl00/PHSEN_snP0147/SAMI*.txt,GS03FLMA-RIS01-04-PHSENF000,recovered_inst,
#Ingest.phsen-abcdef-imodem_recovered,/omc_data/whoi/OMC/GS03FLMA/R00001/cg_data/dcl00/PHSEN_snP0147/PHS*.DAT,GS03FLMA-RIS01-04-PHSENF000,recovered_host,Data not expected
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMA/R00001/cg_data/dcl00/CTDMO_sn37-12588/*.hex,GS03FLMA-RIM01-02-CTDMOG040,recovered_inst,29
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMA/R00001/cg_data/dcl00/CTDMO_sn37-12330/*.hex,GS03FLMA-RIM01-02-CTDMOG041,recovered_inst,39
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMA/R00001/cg_data/dcl00/CTDMO_sn37-12376/*.hex,GS03FLMA-RIM01-02-CTDMOG042,recovered_inst,59
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMA/R00001/cg_data/dcl00/CTDMO_sn37-12371/*.hex,GS03FLMA-RIM01-02-CTDMOG043,recovered_inst,90
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMA/R00001/cg_data/dcl00/CTDMO_sn37-12374/*.hex,GS03FLMA-RIM01-02-CTDMOG044,recovered_inst,130
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMA/R00001/cg_data/dcl00/CTDMO_sn37-12336/*.hex,GS03FLMA-RIM01-02-CTDMOG045,recovered_inst,180
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMA/R00001/cg_data/dcl00/CTDMO_sn37-12372/*.hex,GS03FLMA-RIM01-02-CTDMOG046,recovered_inst,250
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMA/R00001/cg_data/dcl00/CTDMO_sn37-12333/*.hex,GS03FLMA-RIM01-02-CTDMOG047,recovered_inst,350
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMA/R00001/cg_data/dcl00/CTDMO_sn37-12370/*.hex,GS03FLMA-RIM01-02-CTDMOG048,recovered_inst,501
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMA/R00001/cg_data/dcl00/CTDMO_sn37-12385/*.hex,GS03FLMA-RIM01-02-CTDMOH049,recovered_inst,748
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMA/R00001/cg_data/dcl00/CTDMO_sn37-12391/*.hex,GS03FLMA-RIM01-02-CTDMOH050,recovered_inst,999
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMA/R00001/cg_data/dcl00/CTDMO_sn37-12390/*.hex,GS03FLMA-RIM01-02-CTDMOH051,recovered_inst,1501
#Ingest.ctdmo-ghqr-sio_ctRecovered,/omc_data/whoi/OMC/GS03FLMA/R00001/cg_data/dcl00/CTDMOs_all/*.DAT,GS03FLMA-RIM01-02-CTDMOG000,recovered_host,Data not expected
Ingest.sio-eng-sio_recovered,/omc_data/whoi/OMC/GS03FLMA/R00001/cg_data/dcl00/MSIOC/STA*.DAT,GS03FLMA-RIM01-00-SIOENG000,recovered_host,
Ingest.sio-eng-sio_recovered,/omc_data/whoi/OMC/GS03FLMA/R00001/cg_data/dcl00/SSIOC/STA*.DAT,GS03FLMA-RIS01-00-SIOENG000,recovered_host,
