uframe_route,filename_mask,reference_designator,data_source
Ingest.adcps-jln_recovered,/omc_data/whoi/OMC/GS03FLMA/R00002/instruments/ADCPS_sn20502/*.000,GS03FLMA-RIM01-02-ADCPSL003,recovered_inst
Ingest.adcps-jln-stc_recovered,/omc_data/whoi/OMC/GS03FLMA/R00002/cg_data/MSIOC_sn14877/ADCPS/ADC*.DAT,GS03FLMA-RIM01-02-ADCPSL003,recovered_host
Ingest.dosta-abcdjm-sio_recovered,/omc_data/whoi/OMC/GS03FLMA/R00002/cg_data/SSIOC_sn14883/DOSTA/DOS*.DAT,GS03FLMA-RIS01-03-DOSTAD000,recovered_host
Ingest.flort-dj-sio_recovered,/omc_data/whoi/OMC/GS03FLMA/R00002/cg_data/SSIOC_sn14883/FLORT/FLO*.DAT,GS03FLMA-RIS01-05-FLORTD000,recovered_host
Ingest.phsen-abcdef_recovered,/omc_data/whoi/OMC/GS03FLMA/R00002/instruments/PHSEN_snP0182/*SAMI*.txt,GS03FLMA-RIS01-04-PHSENF000,recovered_inst
Ingest.phsen-abcdef-imodem_recovered,/omc_data/whoi/OMC/GS03FLMA/R00002/cg_data/SSIOC_sn14883/PHSEN/PHS*.DAT,GS03FLMA-RIS01-04-PHSENF000,recovered_host
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMA/R00002/instruments/CTDMO_sn37-13635/*.hex,GS03FLMA-RIM01-02-CTDMOG040,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMA/R00002/instruments/CTDMO_sn37-13636/*.hex,GS03FLMA-RIM01-02-CTDMOG041,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMA/R00002/instruments/CTDMO_sn37-13638/*.hex,GS03FLMA-RIM01-02-CTDMOG042,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMA/R00002/instruments/CTDMO_sn37-13637/*.hex,GS03FLMA-RIM01-02-CTDMOG043,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMA/R00002/instruments/CTDMO_sn37-13642/*.hex,GS03FLMA-RIM01-02-CTDMOG044,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMA/R00002/instruments/CTDMO_sn37-13626/*.hex,GS03FLMA-RIM01-02-CTDMOG045,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMA/R00002/instruments/CTDMO_sn37-13645/*.hex,GS03FLMA-RIM01-02-CTDMOG046,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMA/R00002/instruments/CTDMO_sn37-13643/*.hex,GS03FLMA-RIM01-02-CTDMOG047,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMA/R00002/instruments/CTDMO_sn37-13625/*.hex,GS03FLMA-RIM01-02-CTDMOG048,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMA/R00002/instruments/CTDMO_sn37-13652/*.hex,GS03FLMA-RIM01-02-CTDMOH049,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMA/R00002/instruments/CTDMO_sn37-13653/*.hex,GS03FLMA-RIM01-02-CTDMOH050,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMA/R00002/instruments/CTDMO_sn37-13655/*.hex,GS03FLMA-RIM01-02-CTDMOH051,recovered_inst
Ingest.ctdmo-ghqr-sio_ctRecovered,/omc_data/whoi/OMC/GS03FLMA/R00002/cg_data/MSIOC_sn14877/CTD/*.DAT,GS03FLMA-RIM01-02-CTDMOG000,recovered_host
Ingest.sio-eng-sio_recovered,/omc_data/whoi/OMC/GS03FLMA/R00002/cg_data/MSIOC_sn14877/STATUS/STA*.DAT,GS03FLMA-RIM01-00-SIOENG000,recovered_host
Ingest.sio-eng-sio_recovered,/omc_data/whoi/OMC/GS03FLMA/R00002/cg_data/SSIOC_sn14883/STATUS/STA*.DAT,GS03FLMA-RIS01-00-SIOENG000,recovered_host
