uframe_route,filename_mask,reference_designator,data_source
Ingest.adcps-jln_recovered,/omc_data/whoi/OMC/GS03FLMB/R00002/instruments/ADCPS_sn20504/*.000,GS03FLMB-RIM01-02-ADCPSL007,recovered_inst
Ingest.adcps-jln-stc_recovered,/omc_data/whoi/OMC/GS03FLMB/R00002/cg_data/MSIOC_sn14885/ADCPS/ADC*.DAT,GS03FLMB-RIM01-02-ADCPSL007,recovered_host
Ingest.dosta-abcdjm-sio_recovered,/omc_data/whoi/OMC/GS03FLMB/R00002/cg_data/SSIOC_sn14884/DOSTA/DOS*.DAT,GS03FLMB-RIS01-03-DOSTAD000,recovered_host
Ingest.flort-dj-sio_recovered,/omc_data/whoi/OMC/GS03FLMB/R00002/cg_data/SSIOC_sn14884/FLORT/FLO*.DAT,GS03FLMB-RIS01-05-FLORTD000,recovered_host
Ingest.phsen-abcdef_recovered,/omc_data/whoi/OMC/GS03FLMB/R00002/instruments/PHSEN_snP0183/*SAMI*.txt,GS03FLMB-RIS01-04-PHSENF000,recovered_inst
Ingest.phsen-abcdef-imodem_recovered,/omc_data/whoi/OMC/GS03FLMB/R00002/cg_data/SSIOC_sn14884/PHSEN/PHS*.DAT,GS03FLMB-RIS01-04-PHSENF000,recovered_host
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMB/R00002/instruments/CTDMO_sn37-13624/*.hex,GS03FLMB-RIM01-02-CTDMOG060,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMB/R00002/instruments/CTDMO_sn37-13623/*.hex,GS03FLMB-RIM01-02-CTDMOG061,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMB/R00002/instruments/CTDMO_sn37-13622/*.hex,GS03FLMB-RIM01-02-CTDMOG062,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMB/R00002/instruments/CTDMO_sn37-13608/*.hex,GS03FLMB-RIM01-02-CTDMOG063,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMB/R00002/instruments/CTDMO_sn37-13616/*.hex,GS03FLMB-RIM01-02-CTDMOG064,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMB/R00002/instruments/CTDMO_sn37-13617/*.hex,GS03FLMB-RIM01-02-CTDMOG065,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMB/R00002/instruments/CTDMO_sn37-13620/*.hex,GS03FLMB-RIM01-02-CTDMOG066,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMB/R00002/instruments/CTDMO_sn37-13621/*.hex,GS03FLMB-RIM01-02-CTDMOG067,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMB/R00002/instruments/CTDMO_sn37-13607/*.hex,GS03FLMB-RIM01-02-CTDMOG068,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMB/R00002/instruments/CTDMO_sn37-13649/*.hex,GS03FLMB-RIM01-02-CTDMOH069,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMB/R00002/instruments/CTDMO_sn37-13650/*.hex,GS03FLMB-RIM01-02-CTDMOH070,recovered_inst
Ingest.ctdmo-ghqr_recovered,/omc_data/whoi/OMC/GS03FLMB/R00002/instruments/CTDMO_sn37-13633/*.hex,GS03FLMB-RIM01-02-CTDMOH071,recovered_inst
Ingest.ctdmo-ghqr-sio_ctRecovered,/omc_data/whoi/OMC/GS03FLMB/R00002/cg_data/MSIOC_sn14885/CTD/*.DAT,GS03FLMB-RIM01-02-CTDMOG000,recovered_host
Ingest.sio-eng-sio_recovered,/omc_data/whoi/OMC/GS03FLMB/R00002/cg_data/MSIOC_sn14885/STATUS/STA*.DAT,GS03FLMB-RIM01-00-SIOENG000,recovered_host
Ingest.sio-eng-sio_recovered,/omc_data/whoi/OMC/GS03FLMB/R00002/cg_data/SSIOC_sn14884/STATUS/STA*.DAT,GS03FLMB-RIS01-00-SIOENG000,recovered_host
